Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Ravens,354,1327,3.8,11,82,23.2
Seahawks,366,1811,5,9,91,24.9
Patriots,367,1803,4.9,7,93,25.3
Texans,385,1323,3.4,8,76,19.7
Saints,356,1283,3.6,12,72,20.2
Bills,440,1839,4.2,17,111,25.2
Bears,339,1280,3.8,5,67,19.8
Rams,386,1957,5.1,12,101,26.2
Titans,429,1863,4.3,9,98,22.8
Cowboys,400,1513,3.8,12,89,22.2
49ers,444,1814,4.1,13,104,23.4
Panthers,384,1804,4.7,13,110,28.6
Jaguars,434,1870,4.3,16,89,20.5
Redskins,413,1860,4.5,12,109,26.4
Browns,459,2163,4.7,20,130,28.3
Jets,440,2021,4.6,16,104,23.6
Colts,415,1626,3.9,12,87,21
Lions,403,1761,4.4,11,88,21.8
Chargers,395,1693,4.3,11,101,25.6
Eagles,332,1551,4.7,14,71,21.4
Broncos,429,1913,4.5,11,85,19.8
Buccaneers,426,1983,4.6,19,122,28.6
Chiefs,425,2114,5,19,129,30.4
Raiders,480,2249,4.7,16,108,22.5
Dolphins,485,2325,4.8,17,116,23.9
Bengals,466,2204,4.7,17,125,26.8
Vikings,440,1815,4.1,13,107,24.3
Cardinals,510,2479,4.9,25,139,27.2
Giants,444,1898,4.3,18,103,23.2
Falcons,409,1999,4.9,16,115,28.1
Steelers,369,1538,4.2,13,84,22.8
Packers,446,1918,4.3,15,100,22.4
