Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Lions,445,5139,11.6,22,67,10,57T,272,61.1,7
Cowboys,434,4992,11.5,29,55,9,85T,237,54.6,4
Saints,423,5187,12.3,43,66,13,80,267,63.1,7
Falcons,422,4719,11.2,32,46,10,80,246,58.3,3
Broncos,402,4671,11.6,37,63,7,71,232,57.7,4
Patriots,402,4844,12,34,57,8,83,256,63.7,5
Raiders,376,4292,11.4,24,52,10,64,200,53.2,6
Packers,374,4342,11.6,40,55,9,73,213,57,2
Eagles,367,4075,11.1,18,51,6,77,190,51.8,5
Texans,354,4046,11.4,22,46,8,60,205,57.9,0
Steelers,354,4012,11.3,27,49,7,82,202,57.1,12
Colts,339,4374,12.9,23,65,11,70,208,61.4,4
Chargers,338,3606,10.7,26,41,3,80,183,54.1,2
Cardinals,337,3383,10,11,36,3,53,168,49.8,2
Bengals,335,3807,11.4,28,39,14,73,173,51.6,6
Ravens,334,3996,12,22,62,12,61,182,54.5,0
Rams,332,3783,11.4,22,43,8,80,189,56.9,5
Browns,328,3668,11.2,16,50,6,71,185,56.4,5
Jaguars,328,3746,11.4,20,48,8,81,157,47.9,3
Giants,323,3967,12.3,26,50,10,80,187,57.9,0
Titans,318,3577,11.2,17,42,7,71,166,52.2,9
Buccaneers,311,4144,13.3,27,57,16,95,188,60.4,0
Bills,309,3430,11.1,24,44,7,68,176,57,7
Vikings,300,2935,9.8,18,28,3,65,163,54.3,3
Dolphins,293,3425,11.7,13,42,3,80,158,53.9,4
Redskins,291,3666,12.6,24,53,8,88,170,58.4,4
Niners,289,3551,12.3,23,54,8,57,172,59.5,5
Bears,287,3298,11.5,21,39,6,60,163,56.8,3
Panthers,284,3927,13.8,19,58,11,82,171,60.2,4
Chiefs,273,2937,10.8,8,36,3,57,144,52.8,2
Jets,272,3178,11.7,14,40,6,66,162,59.6,7
Seahawks,259,3234,12.5,27,45,11,67T,153,59.1,3
