Team,Rsh TD,Rec TD,Tot TD,2-PT
Patriots,25,34,64,0
Redskins,22,24,51,1
Panthers,21,19,44,0
Texans,19,22,46,0
Giants,18,26,46,1
Ravens,17,22,44,0
Lions,17,22,39,0
Niners,17,23,43,0
Vikings,16,18,39,1
Seahawks,16,27,48,0
Dolphins,15,13,31,0
Buccaneers,13,27,44,0
Falcons,12,32,45,0
Bills,12,24,40,0
Browns,12,16,31,0
Broncos,12,37,56,0
Jets,12,14,30,0
Bears,11,21,41,1
Bengals,11,28,42,0
Colts,11,23,40,1
Titans,10,17,35,0
Saints,10,43,58,1
Eagles,10,18,29,0
Cardinals,10,11,24,0
Packers,9,40,52,0
Chiefs,9,8,17,0
Cowboys,8,29,39,1
Steelers,8,27,36,0
Jaguars,5,20,26,1
Rams,5,22,31,1
Raiders,4,24,28,0
Chargers,4,26,37,0
