Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Packers,518,314,60.6,7.1,3663,33,8,181,34.9,40
Titans,524,333,63.6,7.3,3807,29,18,189,36.1,32
Dolphins,434,244,56.2,6,2592,20,15,139,32,36
Raiders,510,315,61.8,7.7,3924,30,9,210,41.2,25
Rams,492,292,59.4,6.4,3174,24,6,172,35,34
Chiefs,522,312,59.8,8,4203,32,13,190,36.4,41
49ers,490,308,62.9,7.1,3486,27,9,179,36.5,29
Vikings,544,338,62.1,7.2,3896,30,11,220,40.4,39
Eagles,550,334,60.7,5.8,3212,16,17,165,30,47
Saints,545,324,59.4,7.1,3888,24,13,193,35.4,37
Panthers,513,303,59.1,6.8,3478,18,26,177,34.5,34
Bengals,520,313,60.2,6.4,3303,23,20,158,30.4,37
Cardinals,505,271,53.7,6,3036,18,15,153,30.3,38
Seahawks,559,340,60.8,6.4,3590,24,23,191,34.2,36
Colts,557,364,65.4,7,3892,26,19,209,37.5,45
Broncos,484,272,56.2,6.1,2947,17,12,130,26.9,38
Cowboys,502,310,61.8,7,3521,31,13,180,35.9,33
Redskins,515,294,57.1,5.8,2977,17,18,153,29.7,40
Jaguars,497,306,61.6,6.8,3357,18,16,181,36.4,37
Buccaneers,436,247,56.6,5.9,2579,21,16,131,30,45
Lions,535,328,61.3,6.6,3514,29,14,167,31.2,38
Patriots,538,315,58.6,6.3,3400,18,20,177,32.9,45
Giants,467,292,62.5,6.5,3030,28,14,170,36.4,40
Bears,515,287,55.7,6.5,3340,23,17,165,32,35
Texans,530,344,64.9,6.8,3615,32,22,194,36.6,24
Ravens,501,276,55.1,6.2,3122,14,21,158,31.5,39
Bills,486,261,53.7,5.4,2624,20,24,150,30.9,45
Chargers,607,372,61.3,6.7,4053,19,23,200,33,29
Browns,460,277,60.2,6.3,2901,17,15,144,31.3,32
Jets,497,289,58.2,6.7,3312,21,19,169,34,37
Falcons,517,328,63.4,6.8,3526,19,19,183,35.4,48
Steelers,484,269,55.6,5.9,2835,14,19,146,30.2,41
