Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Cardinals,209,66,14,8,101,22.4,993
Dolphins,223,72,11,8,107,19.8,1009
Ravens,218,75,8,2,88,18.8,1009
Bears,220,67,15,4,109,22,1046
49ers,206,83,9,6,121,24.4,1014
Redskins,226,70,17,7,67,16,974
Bengals,218,80,15,5,123,26,1031
Steelers,193,63,13,7,79,22.1,882
Titans,186,62,12,9,99,23.5,977
Jaguars,205,84,10,5,83,19,972
Bills,214,77,15,11,79,17.7,978
Cowboys,192,75,7,2,88,20.7,960
Jets,208,79,13,5,87,20.1,966
Texans,205,89,6,1,89,21.3,971
Rams,209,76,17,12,118,24.6,1006
Lions,231,98,19,7,118,23.7,1071
Saints,210,80,7,6,118,24.3,1067
Seahawks,229,97,9,6,102,22.6,1047
Chargers,196,69,24,13,79,22.2,991
Packers,197,69,9,5,92,22.5,967
Panthers,215,99,12,6,98,20.7,1021
Broncos,209,65,14,5,83,21,918
Patriots,209,81,30,13,83,20.5,988
Browns,216,78,16,7,141,26.5,1024
Falcons,200,72,16,10,107,24.6,999
Raiders,213,101,15,7,115,21.4,1072
Buccaneers,218,77,8,3,101,21,961
Vikings,196,90,16,10,110,25.3,1018
Eagles,229,82,19,9,101,22.8,1039
Chiefs,185,71,16,5,97,24.4,960
Giants,208,87,14,6,112,22.5,1005
Colts,217,91,28,9,103,23.4,1042
