Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Steelers,357,1299,3.6,8,79,22.1
Broncos,396,1512,3.8,16,83,21
Jets,432,1566,3.6,8,87,20.1
Chargers,355,1307,3.7,15,79,22.2
Falcons,434,1681,3.9,20,107,24.6
Patriots,405,1572,3.9,9,83,20.5
Chiefs,397,1834,4.6,18,97,24.4
Ravens,469,1681,3.6,9,88,18.8
Bills,447,1604,3.6,6,79,17.7
Texans,417,1843,4.4,4,89,21.3
Cardinals,450,2105,4.7,12,101,22.4
Redskins,419,1304,3.1,7,67,16
Seahawks,452,2031,4.5,17,102,22.6
Cowboys,425,1764,4.2,14,88,20.7
Jaguars,438,1777,4.1,7,83,19
Browns,532,2314,4.4,22,141,26.5
Packers,409,1878,4.6,12,92,22.5
Bengals,474,2062,4.4,11,123,26
Bears,496,2050,4.1,9,109,22
Colts,440,2037,4.6,12,103,23.4
Giants,498,2157,4.3,13,112,22.5
Panthers,474,1904,4,19,98,20.7
Titans,421,1917,4.6,18,99,23.5
49ers,495,1995,4,22,121,24.4
Lions,498,1887,3.8,10,118,23.7
Saints,485,2253,4.6,16,118,24.3
Buccaneers,480,1973,4.1,8,101,21
Vikings,435,2006,4.6,15,110,25.3
Dolphins,539,2302,4.3,12,107,19.8
Rams,480,2179,4.5,13,118,24.6
Eagles,442,1903,4.3,13,101,22.8
Raiders,537,2012,3.8,21,115,21.4
