Team,INT,INT TD,INT Yds,Lng
Panthers,26,2,420,97T
Bills,24,4,333,62
Chargers,23,1,180,40
Seahawks,23,3,337,63
Texans,22,2,393,102
Ravens,21,5,700,106
Bengals,20,4,272,51
Patriots,20,1,290,36
Falcons,19,4,442,85
Colts,19,2,252,77
Jets,19,2,243,66
Steelers,19,3,293,41
Titans,18,1,285,44
Redskins,18,1,405,78T
Bears,17,5,546,71
Eagles,17,2,287,101
Jaguars,16,0,126,37
Buccaneers,16,1,239,75
Browns,15,1,250,51T
Dolphins,15,0,92,47T
Cardinals,15,1,214,65T
Lions,14,1,216,55
Giants,14,0,113,39
Cowboys,13,0,109,33
Chiefs,13,1,173,65
Saints,13,0,101,55
Broncos,12,2,175,76
Vikings,11,1,207,56
Raiders,9,1,221,45
49ers,9,0,129,31T
Packers,8,2,165,43
Rams,6,0,45,30
