Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Broncos,34,6,204,1,5,1,99T,0,0
Panthers,32,10,320,0,10,2,52,0,1
Packers,25.9,14,363,0,13,1,51,0,0
Texans,25.9,11,285,1,6,1,85T,0,0
Jaguars,25.4,8,203,0,6,1,53,0,0
Dolphins,24.6,10,246,0,10,0,33,0,0
Commanders,24.5,10,245,0,6,0,38,0,0
Raiders,24.2,6,145,0,5,1,40,1,0
Cowboys,24,11,264,0,6,2,63,0,0
Seahawks,23.6,14,331,0,12,0,34,0,0
Jets,23.6,7,165,0,6,0,30,1,0
Bengals,23.4,9,211,0,6,1,41,0,0
Patriots,23.1,7,162,0,4,1,43,1,0
Vikings,23,6,138,0,4,0,33,1,0
Steelers,22.8,13,296,0,9,0,36,1,0
49ers,22.6,5,113,0,2,0,34,0,0
Bills,21.7,9,195,0,5,1,41,3,0
Browns,21.5,6,129,0,4,0,26,1,0
Saints,20.6,14,289,0,7,0,27,1,1
Eagles,20.6,5,103,0,2,0,38,1,0
Bears,20.6,12,247,0,7,0,37,0,0
Buccaneers,20.6,11,226,0,5,0,32,1,0
Ravens,20.5,6,123,0,3,0,28,2,0
Lions,20,8,160,0,3,0,28,1,0
Chargers,19.5,2,39,0,1,0,24,0,0
Giants,19.4,11,213,0,6,0,30,1,0
Colts,19,4,76,0,1,0,21,5,0
Rams,18.7,6,112,0,3,0,36,5,0
Titans,18,6,108,0,2,0,29,5,0
Chiefs,17,4,68,0,2,0,20,0,0
Cardinals,16.9,8,135,0,2,0,28,0,0
Falcons,16.7,9,150,0,2,0,29,0,0
