Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,20.3,7,142,0,3,1,45,5,1
Chargers,16.6,14,232,1,3,1,87T,10,2
Saints,15.4,15,231,1,2,1,76T,16,0
Ravens,14.2,18,256,0,4,1,70,15,0
Bengals,14.1,17,240,1,3,1,81T,5,1
Eagles,14,16,224,0,5,1,52,8,1
Seahawks,12.2,16,196,0,3,0,32,7,1
Packers,11,14,154,0,3,0,35,8,1
Lions,10.4,15,156,0,1,0,24,12,0
Jets,10.3,16,165,1,1,1,65T,14,2
49ers,10.1,15,152,0,0,0,19,7,0
Bears,9.6,7,67,0,0,0,14,12,0
Jaguars,9.6,14,134,0,1,1,48,10,1
Commanders,9.5,20,190,0,2,1,61,6,1
Colts,9.1,17,155,0,2,0,32,13,2
Bills,9,11,99,0,2,0,24,14,1
Dolphins,8.8,11,97,0,0,0,18,16,0
Raiders,8.8,10,88,0,0,0,18,5,1
Cardinals,8.7,17,148,0,1,0,23,8,0
Texans,8.4,13,109,0,1,0,20,10,1
Browns,8,25,201,0,0,0,17,11,1
Vikings,7.9,18,143,0,2,0,24,8,1
Titans,7.6,21,160,0,1,0,21,6,1
Rams,7,14,98,0,1,0,29,11,1
Chiefs,7,21,146,0,2,1,50,11,4
Panthers,6.8,19,129,0,1,0,24,9,0
Patriots,6.8,16,108,0,2,0,25,12,2
Giants,6.7,19,127,0,0,0,17,11,4
Cowboys,6.5,12,78,0,0,0,15,11,1
Buccaneers,5.7,12,68,0,0,0,16,7,2
Steelers,5.4,12,65,0,0,0,14,6,1
Falcons,5.1,14,71,0,0,0,16,12,0
