Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Ravens,52,3328,43,82.7,8,20.8,0,0,0,0
Colts,52,3345,40,76.9,9,26,0,0,0,0
Dolphins,52,3389,42,80.8,10,30.4,0,0,0,1
Eagles,51,3305,41,80.4,10,30.2,0,0,0,0
Bills,50,3155,31,62,17,20.2,1,0,1,0
Cowboys,49,3186,46,93.9,1,28,0,0,1,0
Vikings,47,2984,34,72.3,11,23.4,1,0,1,0
Saints,47,3066,43,91.5,4,21,0,0,0,0
Chiefs,46,3011,44,95.6,2,25,0,0,0,0
Rams,45,2831,37,82.2,7,30.3,1,0,0,0
49ers,45,2844,26,57.8,16,21.5,0,0,2,0
Jaguars,44,2828,35,79.6,5,33.6,0,0,0,1
Bears,43,2698,35,81.4,6,21.7,2,0,0,0
Browns,43,2734,28,65.1,13,18.6,0,0,0,0
Lions,43,2716,25,58.1,17,20.1,1,0,0,0
Texans,43,2721,25,58.1,16,23.4,0,0,0,0
Falcons,42,2716,35,83.3,6,21.8,0,0,0,0
Chargers,42,2710,37,88.1,4,21.2,0,0,0,0
Broncos,40,2503,36,90,2,17,2,0,0,0
Seahawks,40,2556,29,72.5,7,19.1,0,0,1,0
Commanders,40,2502,38,95,0,0,2,0,0,0
Raiders,39,2497,24,61.5,15,21.6,0,0,0,0
Buccaneers,39,2497,26,66.7,12,18.8,0,0,0,0
Titans,38,2392,21,55.3,15,21.7,1,0,0,0
Cardinals,38,2368,31,81.6,3,21,2,1,0,0
Bengals,36,2319,28,77.8,6,18.8,0,0,0,0
Jets,36,2324,32,88.9,3,11.7,0,0,0,0
Packers,35,2224,21,60,12,22.9,1,0,0,0
Patriots,35,2189,23,65.7,11,21.7,1,0,0,0
Steelers,35,2230,27,77.1,6,23.5,0,0,0,0
Panthers,34,1985,21,61.8,9,24.8,4,0,0,0
Giants,30,1949,25,83.3,5,26.8,0,0,0,0
