Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Falcons,20,95.2,12,92.3,0,0
Browns,20,87,13,100,0,0
Rams,20,74.1,12,92.3,0,0
Cowboys,19,100,19,95,0,0
Titans,19,100,13,100,0,0
Texans,19,95,14,100,1,0
Jets,19,95,7,100,0,1
Chiefs,18,100,22,100,0,0
Saints,18,78.3,19,100,0,1
Eagles,18,90,26,96.3,0,0
Jaguars,17,89.5,18,100,0,0
Ravens,16,84.2,25,96.2,0,0
Colts,16,88.9,24,100,0,0
Seahawks,15,79,16,100,0,0
Buccaneers,15,88.2,13,100,0,0
Panthers,14,87.5,12,92.3,0,0
Raiders,14,82.4,14,100,0,0
Cardinals,14,87.5,9,90,0,0
Steelers,14,93.3,11,100,0,0
Broncos,13,86.7,15,93.8,1,0
Vikings,13,76.5,21,91.3,0,0
Chargers,13,92.9,22,100,0,1
Bills,12,80,26,100,0,0
Bears,12,92.3,18,94.7,0,0
Bengals,12,80,17,100,0,1
49ers,12,80,26,100,0,0
Commanders,12,75,19,100,0,0
Lions,11,84.6,23,100,0,0
Packers,11,84.6,15,100,0,0
Giants,11,64.7,8,100,0,0
Patriots,10,71.4,13,100,0,0
Dolphins,7,77.8,36,97.3,0,0
