Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Oilers,38.7,2166,56,45.3,77,2535,14,11,6,6,5,28,249,0,0
Giants,38.2,2945,77,42.5,60,3272,24,7,12,4,10,44,247,0,1
Cardinals,37.8,2762,73,43.7,61,3189,23,8,8,8,19,30,267,0,0
Cowboys,37.7,2113,56,41.8,59,2342,22,1,8,3,12,32,169,0,0
Seahawks,37.7,3392,90,44.5,64,4007,21,4,11,7,21,47,475,1,1
Broncos,37.6,2520,67,45,62,3017,17,10,8,8,8,33,337,0,1
Falcons,37.6,2704,72,43.2,75,3114,21,0,11,3,17,41,350,0,0
Saints,37.5,2888,77,43.6,58,3356,26,6,11,6,18,36,348,1,0
Redskins,37.4,3101,83,43.9,60,3644,28,7,9,10,23,34,343,2,0
Lions,36.8,2650,72,44.5,68,3207,15,9,4,9,5,45,377,0,0
Bengals,36.6,3298,90,43.9,60,3954,24,11,7,12,13,47,416,0,0
Bears,36.6,2925,80,38.5,58,3080,28,0,18,2,38,22,115,0,0
Browns,36.5,2994,82,44.3,72,3632,15,5,4,10,14,49,438,0,2
Chargers,36.4,2695,74,42.3,67,3127,20,1,9,7,21,36,292,0,0
Packers,36.3,2684,74,42.9,60,3174,19,4,13,7,12,38,350,0,0
Patriots,36.2,2643,73,42.4,59,3096,25,15,11,7,6,34,313,1,3
Bills,36,2664,74,40.4,58,2991,19,4,13,4,24,29,247,0,0
Colts,35.9,2983,83,43.3,65,3595,18,6,11,13,12,41,352,1,0
Chiefs,35.9,2728,76,42.6,59,3240,19,6,4,8,15,43,352,0,1
Buccaneers,35.7,3318,93,40.6,57,3772,24,9,5,3,23,53,394,0,1
Vikings,35.4,3182,90,42.9,64,3862,25,7,9,6,22,46,560,1,0
Eagles,35.3,2932,83,40,60,3323,31,9,16,4,19,35,311,1,0
Raiders,35.1,2490,71,41.8,61,2971,19,17,3,9,7,35,301,0,0
49ers,34.4,1447,42,40.9,61,1718,11,5,9,5,8,15,171,0,0
Jets,34.4,2510,73,38.4,71,2806,21,18,10,7,12,26,156,0,0
Steelers,34.2,3043,89,42.5,61,3781,28,8,12,3,16,50,678,3,0
Dolphins,32.2,1865,58,39.7,56,2304,13,5,5,4,12,32,359,1,0
Rams,31.7,2538,80,40.9,66,3271,15,2,9,10,16,43,533,2,0
