Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Packers,24.7,60,1483,1,32,8,95T,0,1
Falcons,23.6,55,1300,1,35,4,97T,0,2
Saints,23.6,62,1460,1,35,6,99T,0,3
Lions,23.2,52,1204,1,26,7,95T,1,3
Dolphins,21.8,49,1068,0,29,1,48,0,2
Cardinals,21.1,45,951,0,20,3,48,0,0
Cowboys,21.1,36,758,0,19,2,49,2,2
Raiders,20.4,52,1061,0,23,5,66,0,1
Bengals,19.8,61,1211,0,29,2,45,3,0
Redskins,19.8,59,1166,0,25,2,68,0,0
Vikings,19.8,55,1086,0,23,2,47,0,1
Colts,19.7,57,1124,0,35,0,38,0,1
Chiefs,19.4,45,875,0,20,3,47,1,2
Browns,19.3,58,1119,0,23,1,47,0,1
Chargers,19.2,47,901,0,16,3,60,0,1
Oilers,19,31,589,0,12,0,37,0,1
Seahawks,18.6,50,931,0,20,1,46,0,2
Broncos,18.4,39,717,0,12,2,49,0,1
Eagles,18.3,54,987,0,17,0,36,0,5
Bears,18,45,811,0,16,3,55,0,1
49ers,17.9,40,715,0,16,1,60,3,3
Patriots,17.4,47,819,0,17,1,44,1,2
Steelers,16.9,52,878,0,16,1,44,0,2
Rams,16.8,49,824,0,16,0,35,0,3
Bills,16.6,45,746,0,12,0,28,0,0
Buccaneers,15.9,58,922,0,14,1,42,1,1
Giants,15.8,32,507,0,6,0,35,1,1
Jets,14.7,46,675,0,12,0,28,0,5
