Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,20.3,7,142,0,3,1,45,5,1
Saints,16.2,13,211,1,2,1,76T,16,0
Bengals,15.3,15,229,1,3,1,81T,4,1
Eagles,14.7,15,220,0,5,1,52,7,1
Ravens,14.3,16,229,0,3,1,70,12,0
Seahawks,12.7,14,178,0,3,0,32,7,1
Jets,12.1,13,157,1,1,1,65T,11,2
Chargers,11.6,11,128,0,2,0,26,6,1
Commanders,10.5,15,158,0,2,1,61,6,1
Lions,10.4,15,156,0,1,0,24,12,0
Colts,10.3,14,144,0,2,0,32,12,1
49ers,10.1,15,152,0,0,0,19,7,0
Packers,9.8,12,117,0,2,0,35,6,1
Bears,9.6,7,67,0,0,0,14,9,0
Jaguars,9.6,14,134,0,1,1,48,10,1
Raiders,9.1,9,82,0,0,0,18,4,1
Bills,9,11,99,0,2,0,24,12,1
Dolphins,9,10,90,0,0,0,18,12,0
Texans,8.5,12,102,0,1,0,20,10,1
Titans,8,19,153,0,1,0,21,5,1
Patriots,7.9,14,110,0,2,0,25,10,2
Cardinals,7.7,13,100,0,0,0,19,8,0
Browns,7.7,19,146,0,0,0,13,9,1
Chiefs,7.3,18,132,0,2,1,50,8,4
Vikings,7,17,119,0,1,0,20,6,1
Panthers,6.1,16,97,0,0,0,15,7,0
Giants,5.9,16,94,0,0,0,15,11,4
Rams,5.6,11,61,0,1,0,29,10,1
Cowboys,5.5,10,55,0,0,0,15,11,1
Falcons,5.5,13,71,0,0,0,16,11,0
Steelers,5.2,10,52,0,0,0,14,5,1
Buccaneers,5.1,9,46,0,0,0,16,7,2
