Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Rams,19,76,12,92.3,0,0
Browns,18,90,10,100,0,0
Cowboys,18,100,17,94.4,0,0
Chiefs,18,100,19,100,0,0
Eagles,18,90,22,95.6,0,0
Texans,17,94.4,13,100,1,0
Jaguars,17,89.5,18,100,0,0
Saints,17,81,16,100,0,1
Jets,17,94.4,7,100,0,1
Falcons,16,94.1,10,90.9,0,0
Titans,16,100,12,100,0,0
Colts,14,87.5,21,100,0,0
Cardinals,14,87.5,9,90,0,0
Seahawks,14,77.8,16,100,0,0
Ravens,13,81.2,21,95.4,0,0
Broncos,13,86.7,15,93.8,1,0
Panthers,12,85.7,11,91.7,0,0
Steelers,12,92.3,9,100,0,0
49ers,12,80,26,100,0,0
Buccaneers,12,85.7,9,100,0,0
Bills,11,78.6,25,100,0,0
Bears,11,100,16,94.1,0,0
Bengals,11,78.6,14,100,0,1
Lions,11,84.6,23,100,0,0
Raiders,11,78.6,11,100,0,0
Giants,11,64.7,8,100,0,0
Chargers,11,91.7,19,100,0,0
Vikings,10,71.4,19,90.5,0,0
Commanders,10,71.4,17,100,0,0
Packers,9,90,13,100,0,0
Patriots,9,69.2,11,100,0,0
Dolphins,7,77.8,34,97.1,0,0
