Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Broncos,34,6,204,1,5,1,99T,0,0
Panthers,30.4,9,274,0,9,1,52,0,1
Texans,29.1,8,233,1,4,1,85T,0,0
Jaguars,25.4,8,203,0,6,1,53,0,0
Bengals,25,6,150,0,4,1,41,0,0
Commanders,24.7,7,173,0,5,0,38,0,0
Seahawks,24.6,11,271,0,10,0,34,0,0
Dolphins,24.6,10,246,0,10,0,33,0,0
Raiders,24.2,6,145,0,5,1,40,1,0
Packers,24,13,312,0,12,0,30,0,0
Jets,23.6,7,165,0,6,0,30,0,0
Patriots,23.1,7,162,0,4,1,43,1,0
Steelers,23.1,11,254,0,8,0,36,1,0
Vikings,23,6,138,0,4,0,33,1,0
49ers,22.6,5,113,0,2,0,34,0,0
Bills,21.6,7,151,0,4,1,41,2,0
Browns,21.5,6,129,0,4,0,26,1,0
Buccaneers,21.5,8,172,0,4,0,32,1,0
Eagles,20.6,5,103,0,2,0,38,0,0
Bears,20.6,12,247,0,7,0,37,0,0
Cowboys,20.6,9,185,0,4,1,63,0,0
Ravens,20.5,6,123,0,3,0,28,2,0
Saints,20.4,13,265,0,6,0,27,1,1
Lions,20,8,160,0,3,0,28,1,0
Chargers,19.5,2,39,0,1,0,24,0,0
Colts,19,4,76,0,1,0,21,5,0
Cardinals,18.3,6,110,0,2,0,28,0,0
Falcons,18.1,8,145,0,2,0,29,0,0
Giants,17.2,6,103,0,3,0,24,1,0
Chiefs,16,3,48,0,1,0,20,0,0
Titans,15.5,4,62,0,1,0,21,3,0
Rams,14,4,56,0,1,0,20,4,0
