Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Dolphins,49,3195,40,81.6,9,31.6,0,0,0,1
Bills,46,2890,30,65.2,14,20.2,1,0,1,0
Colts,46,2953,35,76.1,8,23.5,0,0,0,0
Eagles,46,2976,38,82.6,8,27.9,0,0,0,0
49ers,45,2844,26,57.8,16,21.5,0,0,2,0
Ravens,44,2817,38,86.4,5,21.2,0,0,0,0
Cowboys,44,2864,43,97.7,1,28,0,0,0,0
Jaguars,44,2828,35,79.6,5,33.6,0,0,0,1
Lions,43,2716,25,58.1,17,20.1,1,0,0,0
Rams,43,2697,36,83.7,6,26.8,1,0,0,0
Chiefs,42,2751,40,95.2,2,25,0,0,0,0
Saints,42,2741,38,90.5,4,21,0,0,0,0
Broncos,40,2503,36,90,2,17,2,0,0,0
Bears,39,2436,32,82,5,21.2,2,0,0,0
Vikings,39,2482,27,69.2,10,25.3,1,0,1,0
Browns,38,2423,25,65.8,11,19.7,0,0,0,0
Seahawks,38,2426,27,71,7,19.1,0,0,1,0
Cardinals,37,2303,30,81.1,3,21,2,1,0,0
Chargers,37,2389,33,89.2,4,21.2,0,0,0,0
Falcons,35,2261,28,80,6,21.8,0,0,0,0
Texans,35,2260,20,57.1,13,24.6,0,0,0,0
Commanders,35,2177,33,94.3,0,0,2,0,0,0
Titans,34,2136,19,55.9,13,21.8,1,0,0,0
Jets,33,2129,29,87.9,3,11.7,0,0,0,0
Raiders,32,2047,22,68.8,10,21.4,0,0,0,0
Bengals,31,1993,26,83.9,4,17.2,0,0,0,0
Patriots,31,1935,22,71,8,20.9,1,0,0,0
Buccaneers,31,1980,21,67.7,9,19.2,0,0,0,0
Panthers,30,1725,17,56.7,9,24.8,4,0,0,0
Packers,30,1901,19,63.3,10,21.9,1,0,0,0
Steelers,30,1924,26,86.7,4,23.8,0,0,0,0
Giants,28,1819,23,82.1,5,26.8,0,0,0,0
