Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Browns,187,53,10,4,68,19.3,807
Panthers,175,63,9,6,98,23.9,827
Giants,180,65,15,8,106,27,891
Bears,183,80,21,10,65,20.5,856
Saints,195,68,23,9,92,23.6,877
Cowboys,175,67,29,14,94,24.4,834
Colts,199,74,22,14,106,24.4,943
Texans,188,73,18,10,92,24.2,889
Chargers,189,71,30,17,91,24.2,935
Buccaneers,186,79,20,9,83,24.1,900
Rams,191,73,23,14,90,24.5,895
Vikings,197,80,20,14,81,23.3,889
Lions,166,63,22,13,80,22.6,854
Steelers,198,78,15,7,84,21.1,907
Jaguars,187,67,32,17,85,24.7,897
Falcons,188,63,17,8,79,19.6,884
Jets,206,81,11,6,92,20.6,913
Eagles,195,93,27,14,82,26.1,908
Cardinals,169,79,14,6,114,26.3,893
Packers,190,80,25,12,107,25.1,900
Patriots,194,72,16,9,72,19,895
Commanders,191,80,17,11,92,24.5,895
Bills,181,71,19,10,78,23.1,849
Broncos,165,55,32,15,102,26,898
Bengals,176,75,13,5,109,28.7,891
Titans,193,71,18,12,88,21.5,910
Ravens,206,73,25,10,77,23.1,913
Chiefs,177,65,22,10,84,24.6,842
Raiders,186,79,17,8,98,24.2,903
Seahawks,193,90,20,8,106,26.5,943
Dolphins,182,67,24,10,83,24.4,864
49ers,180,72,22,10,81,27.6,870
