Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Ravens,333,1430,4.3,4,77,23.1
Falcons,402,1571,3.9,5,79,19.6
Browns,353,1431,4,14,68,19.3
Bears,317,1117,3.5,7,65,20.5
Eagles,314,1322,4.2,9,82,26.1
49ers,293,1252,4.3,8,81,27.6
Lions,354,1342,3.8,14,80,22.6
Bills,338,1571,4.6,10,78,23.1
Saints,390,1770,4.5,9,92,23.6
Cowboys,385,1644,4.3,13,94,24.4
Colts,435,1784,4.1,20,106,24.4
Rams,368,1551,4.2,11,90,24.5
Dolphins,340,1265,3.7,13,83,24.4
Jaguars,344,1450,4.2,12,85,24.7
Giants,393,1843,4.7,19,106,27
Panthers,410,1651,4,21,98,23.9
Broncos,393,2057,5.2,14,102,26
Cardinals,434,1955,4.5,17,114,26.3
Texans,380,1309,3.4,16,92,24.2
Steelers,398,1703,4.3,8,84,21.1
Titans,409,1580,3.9,10,88,21.5
Buccaneers,345,1344,3.9,11,83,24.1
Chargers,376,1595,4.2,16,91,24.2
Patriots,378,1189,3.2,10,72,19
Vikings,348,1288,3.7,8,81,23.3
Chiefs,341,1546,4.5,9,84,24.6
Packers,427,1943,4.6,13,107,25.1
Raiders,405,1748,4.3,12,98,24.2
Seahawks,400,1782,4.5,19,106,26.5
Commanders,376,1676,4.5,11,92,24.5
Bengals,380,1796,4.7,15,109,28.7
Jets,446,1791,4,10,92,20.6
