Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Commanders,481,313,65.1,8,3871,32,6,169,35.1,38
Chiefs,455,284,62.4,6.2,2835,18,8,143,31.4,46
Browns,413,228,55.2,6.1,2501,17,14,103,24.9,41
Vikings,500,348,69.6,6.8,3418,17,11,162,32.4,41
Chargers,515,339,65.8,7.7,3965,24,7,179,34.8,44
Bengals,473,313,66.2,8,3779,18,15,176,37.2,38
Jaguars,523,342,65.4,7.2,3792,23,14,166,31.7,30
Cowboys,409,244,59.7,6.7,2729,18,13,127,31,40
Saints,457,262,57.3,6.2,2813,16,14,128,28,30
Panthers,397,255,64.2,6.5,2575,17,8,135,34,20
Lions,470,293,62.3,7.3,3410,22,9,167,35.5,30
Rams,497,297,59.8,6.8,3368,19,8,159,32,30
Bills,466,307,65.9,6.6,3079,17,13,156,33.5,45
Colts,462,297,64.3,7.3,3365,16,15,149,32.2,46
Packers,439,290,66.1,7.2,3163,18,6,157,35.8,34
Jets,428,266,62.2,6.1,2629,15,12,131,30.6,39
Texans,471,323,68.6,7.7,3635,14,12,153,32.5,38
Seahawks,504,331,65.7,7.1,3559,19,11,170,33.7,39
Patriots,488,322,66,6.8,3314,17,9,160,32.8,29
Buccaneers,515,340,66,7.7,3961,19,11,181,35.2,40
Eagles,555,359,64.7,6.9,3820,30,6,186,33.5,39
Dolphins,476,311,65.3,6.7,3180,17,13,148,31.1,48
Raiders,462,313,67.8,6.8,3158,18,11,157,34,36
Cardinals,427,297,69.6,7.7,3303,26,9,171,40,32
Bears,514,346,67.3,6.8,3519,26,18,167,32.5,25
Steelers,470,282,60,7.2,3393,20,13,151,32.1,39
Falcons,452,278,61.5,6.6,2974,19,7,144,31.9,30
Titans,460,309,67.2,7.5,3461,15,4,151,32.8,41
Giants,474,303,63.9,7,3336,18,13,152,32.1,24
Broncos,469,313,66.7,7.6,3582,25,11,168,35.8,36
Ravens,530,318,60,5.6,2992,14,11,140,26.4,50
49ers,534,353,66.1,6.3,3365,15,19,159,29.8,43
