Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,20.7,9,186,0,4,1,45,6,1
Chargers,15.9,15,238,1,3,1,87T,13,2
Saints,14.9,17,253,1,2,1,76T,20,0
Eagles,14.6,19,277,0,6,1,52,8,1
Ravens,13,21,273,0,4,1,70,18,0
Bengals,13,21,272,1,4,1,81T,7,1
Seahawks,11.8,20,235,0,3,0,32,10,1
Raiders,10.6,14,149,0,1,0,32,6,1
Lions,10.5,16,168,0,1,0,24,13,0
Jets,10,17,170,1,1,1,65T,17,2
Jaguars,9.9,15,149,0,1,1,48,11,1
Cardinals,9.9,21,207,0,2,1,49,8,1
Panthers,9.6,23,222,1,2,1,79T,11,1
Bills,9.3,16,149,0,2,0,24,17,1
Colts,9.2,18,166,0,2,0,32,14,2
Packers,9.2,19,175,0,3,0,35,9,3
49ers,9.2,20,184,0,0,0,19,8,0
Buccaneers,9.2,16,147,0,1,1,51,8,2
Dolphins,9.1,14,127,0,0,0,18,18,0
Browns,8.2,29,238,0,1,0,21,16,2
Steelers,8,17,136,0,1,0,21,9,1
Texans,7.9,18,143,0,1,0,20,12,1
Titans,7.9,25,198,0,1,0,21,7,2
Vikings,7.9,23,182,0,2,0,24,11,1
Bears,7.9,10,79,0,0,0,14,15,0
Commanders,7.6,26,198,0,2,1,61,9,1
Chiefs,7.6,27,204,0,3,1,50,11,4
Rams,7.1,18,128,0,1,0,29,11,1
Giants,6.8,21,143,0,0,0,17,12,4
Patriots,6.8,16,108,0,2,0,25,13,2
Cowboys,5.8,15,87,0,0,0,15,16,1
Falcons,5.3,15,79,0,0,0,16,13,0
