Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Raiders,47.1,2026,43,51.9,70,2231,21,6,2,4,15,16,125,0,0
Cowboys,45,1261,28,50.8,63,1422,11,1,2,2,9,14,121,0,0
Titans,44.4,1866,42,52.8,74,2218,22,8,5,7,4,18,212,0,0
Jaguars,44.1,1721,39,48.6,62,1896,21,6,4,4,11,14,95,0,0
Giants,43.8,2806,64,46.9,64,2999,21,6,8,3,22,25,133,0,0
Panthers,43.8,2016,46,47.3,69,2174,17,2,6,2,18,18,118,0,0
Seahawks,43.7,1704,39,49.5,73,1930,16,2,7,5,5,20,126,0,0
49ers,42.9,1331,31,48.8,67,1512,16,2,6,1,8,14,161,0,0
Browns,42.6,2217,52,49.8,73,2592,17,9,4,5,9,25,275,0,0
Lions,42.4,1271,30,45.2,62,1355,16,1,5,1,13,10,64,0,0
Dolphins,42.3,1269,30,45.7,66,1371,11,5,3,2,11,9,62,0,0
Buccaneers,42.3,1902,45,50,74,2249,19,9,4,4,5,22,267,0,0
Rams,42.2,1605,38,49,72,1861,13,5,3,2,9,19,216,0,1
Commanders,42,2060,49,47.4,66,2325,19,0,6,2,15,26,225,0,0
Jets,42,2437,58,49,62,2843,19,4,4,5,19,26,306,1,0
Patriots,41.9,2097,50,48.1,79,2407,23,8,2,5,12,23,210,0,0
Vikings,41.7,1459,35,48.4,63,1693,8,4,2,6,9,14,114,0,0
Cardinals,41.7,1792,43,49.2,66,2115,7,2,4,1,6,30,303,0,0
Texans,41.5,1661,40,44.6,74,1785,14,4,5,3,15,13,64,0,0
Falcons,41.5,1826,44,47.8,62,2105,14,8,2,2,13,19,239,0,0
Colts,41.5,1866,45,47.2,69,2122,16,5,8,0,8,24,256,0,0
Chiefs,41.1,1438,35,47.3,68,1654,11,3,6,3,11,12,156,0,0
Eagles,40.7,1221,30,46.8,63,1403,9,0,7,1,6,16,162,0,0
Broncos,40.7,1586,39,45.5,68,1773,10,3,3,3,10,20,127,0,0
Ravens,40.4,1778,44,48.6,67,2139,19,4,3,4,12,21,281,1,1
Chargers,40.4,1657,41,44.3,65,1817,13,2,6,2,17,14,120,0,0
Bengals,40.3,1934,48,44.8,62,2150,11,6,1,4,20,17,136,0,0
Steelers,40.1,2364,59,44.8,63,2646,23,9,7,4,17,22,202,0,0
Saints,39.9,1957,49,43,62,2109,21,6,5,3,17,18,92,0,0
Packers,39,1599,41,47.6,68,1952,10,0,1,5,16,19,253,1,0
Bills,38.3,1148,30,44.8,70,1343,10,3,4,2,8,13,155,1,0
Bears,36.6,1428,39,45.7,62,1782,10,4,6,3,6,20,294,1,0
