Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Ravens,65,4173,55,84.6,9,22.1,0,0,0,0
Cowboys,64,4167,59,92.2,3,31,0,0,1,0
Bills,62,3899,36,58.1,23,20.4,1,0,1,0
Vikings,58,3697,43,74.1,13,24,1,0,1,0
Dolphins,57,3714,47,82.5,10,30.4,0,0,0,1
49ers,57,3620,33,57.9,21,21.1,0,0,2,0
Bears,55,3431,44,80,8,23.5,2,0,0,0
Lions,55,3478,33,60,18,20.5,1,0,0,0
Colts,55,3542,42,76.4,10,25.6,0,0,0,0
Eagles,55,3565,45,81.8,10,30.2,0,0,0,0
Browns,54,3427,34,63,15,18.1,0,0,0,0
Chargers,54,3477,46,85.2,7,20.9,0,0,0,0
Texans,53,3344,32,60.4,19,22.2,0,0,0,0
Jaguars,53,3402,39,73.6,10,26.9,0,0,0,1
Seahawks,52,3325,36,69.2,12,22.2,0,0,1,0
Broncos,51,3218,46,90.2,3,17.7,2,0,0,0
Saints,51,3326,47,92.2,4,21,0,0,0,0
Commanders,51,3217,49,96.1,0,0,2,0,0,0
Chiefs,49,3206,47,95.9,2,25,0,0,0,0
Rams,49,3091,41,83.7,7,30.3,1,0,0,0
Cardinals,48,3013,41,85.4,3,21,2,1,0,0
Falcons,47,3043,39,83,7,21.9,0,0,0,0
Bengals,47,2974,37,78.7,6,18.8,1,0,0,0
Raiders,47,3018,31,66,16,21.1,0,0,0,0
Buccaneers,47,2986,30,63.8,15,18.5,0,0,0,0
Packers,45,2862,24,53.3,18,22.6,1,0,1,0
Titans,44,2719,25,56.8,16,21.5,2,0,0,0
Steelers,44,2797,31,70.4,11,25.4,0,0,0,0
Jets,43,2774,37,86,4,15,0,0,0,0
Panthers,41,2435,26,63.4,10,24.7,4,0,1,0
Giants,40,2570,32,80,8,27.8,0,0,0,0
Patriots,38,2379,25,65.8,12,23.4,1,0,0,0
