Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Browns,26,89.7,15,93.8,0,0
Jets,23,95.8,7,100,0,1
Seahawks,23,82.1,19,100,0,0
Broncos,22,91.7,15,88.2,1,0
Texans,22,91.7,20,100,1,0
Falcons,21,95.4,14,93.3,0,0
Cowboys,21,100,29,93.6,0,0
Titans,21,95.4,15,100,0,0
Rams,21,75,14,93.3,0,0
Jaguars,20,90.9,22,100,0,0
Ravens,19,82.6,33,97.1,0,0
Bears,19,95,21,95.4,0,0
Chiefs,19,100,24,100,0,0
Raiders,19,86.4,16,100,0,0
Saints,19,79.2,19,100,0,1
Cardinals,19,90.5,11,91.7,0,0
Eagles,18,90,29,96.7,0,0
Steelers,18,94.7,14,100,0,0
Panthers,17,85,14,93.3,0,1
Colts,17,85,25,100,0,0
Vikings,17,77.3,26,92.9,0,0
Buccaneers,17,89.5,17,100,0,0
Bills,16,84.2,30,96.8,0,0
Bengals,16,80,22,100,0,1
Chargers,16,94.1,29,100,0,1
49ers,16,84.2,33,100,0,0
Commanders,16,80,22,91.7,0,0
Packers,14,82.4,18,90,0,0
Lions,13,86.7,31,100,0,0
Giants,13,68.4,14,100,0,0
Patriots,12,70.6,13,100,0,0
Dolphins,9,75,38,97.4,0,0
