Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Cowboys,34,89.5,24,100,0,1
Colts,32,78,21,100,0,0
Jaguars,31,86.1,41,100,1,0
49ers,29,80.6,38,100,1,1
Broncos,28,71.8,50,100,0,3
Dolphins,28,77.8,33,100,0,0
Jets,28,68.3,36,100,2,1
Oilers,27,77.1,32,100,0,0
Ravens,26,76.5,32,100,0,2
Lions,26,89.7,39,97.5,0,0
Chiefs,26,96.3,35,97.2,1,1
Chargers,26,83.9,26,96.3,1,3
Rams,25,67.6,32,100,0,0
Patriots,25,86.2,40,100,1,0
Bills,24,80,21,100,0,0
Packers,24,80,48,100,0,0
Falcons,23,85.2,35,100,2,0
Saints,23,85.2,22,100,1,0
Panthers,22,84.6,25,100,0,0
Giants,22,68.8,27,93.1,0,1
Eagles,22,71,33,100,1,0
Steelers,22,88,40,100,1,0
Seahawks,22,78.6,37,100,0,0
Bears,21,80.8,20,100,0,0
Vikings,19,70.4,33,97.1,0,0
Cardinals,19,65.5,28,96.6,0,0
Redskins,16,66.7,39,100,1,1
Raiders,13,59.1,33,94.3,0,0
Buccaneers,13,76.5,32,91.4,0,1
Bengals,12,75,41,95.4,1,0
