Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Patriots,25.2,53,1337,1,36,5,86T,0,3
Chiefs,24.9,54,1345,1,38,3,94T,0,3
Cardinals,24.2,70,1696,0,48,5,63,0,0
Cowboys,24.1,63,1520,0,42,8,49,0,0
Saints,23.7,58,1374,1,40,3,102T,0,3
Falcons,23.5,51,1198,2,26,3,99T,0,1
Panthers,23.4,64,1500,0,39,6,56,0,4
Lions,23.1,59,1364,0,38,5,69,0,2
Bengals,23.1,74,1708,1,42,4,102T,0,2
Jets,22.9,54,1236,2,34,4,101,0,2
Packers,22.8,49,1119,0,28,4,43,0,1
49ers,22.7,50,1133,1,32,2,101T,0,0
Broncos,22.3,54,1203,0,31,3,61,0,3
Steelers,22.3,67,1493,1,43,3,97T,0,4
Eagles,22,69,1520,1,40,4,57T,0,1
Vikings,21.8,65,1414,0,33,6,74,0,0
Redskins,21.8,59,1283,1,30,4,97T,0,3
Chargers,21.5,75,1613,1,46,4,63T,0,2
Bears,21.4,79,1694,0,45,3,58,0,1
Rams,21.4,68,1454,0,35,2,56,0,2
Jaguars,21.3,58,1233,1,30,1,92T,0,2
Colts,21.2,68,1442,0,42,2,61,0,2
Buccaneers,21.1,51,1075,0,29,4,51,0,2
Raiders,21,81,1699,0,42,3,45,0,2
Dolphins,20.6,63,1298,0,31,2,48,0,3
Seahawks,20.4,76,1550,0,46,5,43,0,4
Ravens,20.2,71,1435,0,36,3,51,0,5
Oilers,19.8,58,1150,0,25,3,54,0,2
Bills,19.7,78,1538,0,36,3,53,0,3
Giants,18.9,51,963,0,21,2,84,0,3
