Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Titans,368,1438,3.9,14,90,24.5
Eagles,458,1834,4,18,115,25.1
Ravens,378,1436,3.8,13,81,21.4
Saints,426,1589,3.7,12,84,19.7
Colts,420,1854,4.4,10,101,24
49ers,439,1760,4,17,97,22.1
Cardinals,426,1952,4.6,10,109,25.6
Patriots,464,2103,4.5,9,111,23.9
Browns,437,1857,4.2,13,108,24.7
Football Team,430,1775,4.1,14,101,23.5
Bears,483,2127,4.4,14,116,24
Cowboys,429,1918,4.5,13,99,23.1
Bills,442,1866,4.2,19,108,24.4
Panthers,474,1935,4.1,16,112,23.6
Broncos,441,1892,4.3,9,99,22.4
Vikings,475,2222,4.7,15,131,27.6
Packers,395,1855,4.7,13,120,30.4
Dolphins,425,1867,4.4,16,106,24.9
Bengals,407,1742,4.3,15,107,26.3
Chiefs,419,1999,4.8,15,121,28.9
Lions,518,2296,4.4,19,135,26.1
Chargers,509,2361,4.6,22,144,28.3
Texans,523,2418,4.6,25,135,25.8
Rams,443,1754,4,18,111,25.1
Giants,492,2193,4.5,15,126,25.6
Raiders,462,1943,4.2,18,109,23.6
Seahawks,509,1932,3.8,16,124,24.4
Steelers,498,2483,5,17,144,28.9
Falcons,519,2242,4.3,19,143,27.6
Jaguars,493,2127,4.3,22,124,25.2
Buccaneers,366,1573,4.3,11,94,25.7
Jets,525,2351,4.5,28,129,24.6
