Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Steelers,566,362,64,6.5,3697,27,8,200,35.3,52
Colts,542,384,70.8,7,3805,21,15,203,37.4,38
Packers,527,336,63.8,7.1,3752,30,7,199,37.8,44
Buccaneers,534,387,72.5,7.8,4151,34,9,209,39.1,38
Falcons,585,398,68,7.1,4153,33,15,226,38.6,37
Vikings,503,315,62.6,6.2,3140,15,12,160,31.8,50
Eagles,626,417,66.6,6.9,4308,22,10,215,34.4,44
Broncos,549,353,64.3,7.2,3929,26,17,197,35.9,44
Chiefs,632,406,64.2,6.9,4374,30,15,247,39.1,52
Giants,560,362,64.6,7.2,4044,24,16,205,36.6,30
Browns,626,393,62.8,6.6,4125,21,17,216,34.5,37
Lions,496,323,65.1,7.3,3599,29,7,191,38.5,43
Patriots,605,370,61.2,6.5,3943,29,18,208,34.4,30
Rams,533,347,65.1,7.1,3780,31,18,185,34.7,41
Panthers,529,353,66.7,7.3,3847,32,13,185,35,35
Ravens,577,337,58.4,5.8,3360,21,12,174,30.2,43
Raiders,480,299,62.3,8,3853,36,14,178,37.1,13
Bengals,584,389,66.6,7.6,4414,32,12,221,37.8,34
Jaguars,499,312,62.5,6.2,3113,17,11,162,32.5,37
49ers,542,344,63.5,6.9,3732,35,2,195,36,37
Cowboys,542,367,67.7,6.9,3755,22,9,193,35.6,39
Jets,582,367,63.1,7,4065,29,13,201,34.5,39
Saints,573,384,67,7.5,4302,30,12,224,39.1,49
Bears,615,377,61.3,5.7,3515,22,27,186,30.2,50
Chargers,548,351,64,6.6,3646,23,13,178,32.5,38
Redskins,537,362,67.4,7.1,3794,27,15,197,36.7,46
Texans,594,385,64.8,7,4167,28,15,200,33.7,43
Bills,492,313,63.6,5.8,2867,22,16,157,31.9,36
Cardinals,506,342,67.6,6.4,3262,21,7,186,36.8,49
Dolphins,508,335,65.9,7.7,3932,31,21,195,38.4,31
Titans,533,337,63.2,6.5,3471,21,11,182,34.2,39
Seahawks,546,355,65,7,3842,26,12,201,36.8,43
