Team,INT,INT TD,INT Yds,Lng
Bears,27,5,330,49
Dolphins,21,3,321,54
Rams,18,3,290,50
Patriots,18,1,156,84
Browns,17,0,100,50
Broncos,17,2,158,53
Bills,16,0,133,37T
Giants,16,3,191,46T
Falcons,15,1,151,41
Texans,15,3,252,101
Colts,15,0,220,47
Chiefs,15,3,280,67
Redskins,15,0,203,40
Raiders,14,1,124,36
Panthers,13,0,86,39
Jets,13,3,318,104
Chargers,13,1,247,86
Ravens,12,0,99,33
Bengals,12,3,222,58
Vikings,12,1,159,52T
Saints,12,1,259,78
Seahawks,12,1,196,98
Titans,11,2,120,56
Jaguars,11,2,117,33
Eagles,10,0,139,29
Cowboys,9,0,141,49T
Buccaneers,9,0,97,50
Steelers,8,2,89,35
Lions,7,2,148,67
Packers,7,1,100,27T
Cardinals,7,0,55,25T
49ers,2,1,55,32T
