Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Derrick Moore,68,1,68,0,1,1,68,0,0
Kimble Anders,47,1,47,0,1,1,47,0,0
Kevin Smith,33,1,33,0,1,0,33,0,0
Corey Harris,30.1,16,482,0,12,3,65,0,0
Todd McNair,28,1,28,0,1,0,28,0,0
Todd Bowles,27,1,27,0,1,0,27,0,0
Willie Gault,26.7,7,187,0,4,1,60,0,0
Robert Brooks,26.6,23,611,1,11,4,95,0,0
Alton Montgomery,26.5,2,53,0,2,0,33,0,0
Tyrone Hughes,25.1,30,753,1,16,3,99,0,0
Tony Smith,25,38,948,1,24,4,97,0,1
Mel Gray,24.6,28,688,1,13,4,95,0,2
Raghib Ismail,24.2,25,605,0,14,4,66,0,0
Deion Sanders,24.1,7,169,0,6,0,31,0,0
O.J. McDuffie,23.6,32,755,0,22,1,48,0,1
Yancey Thigpen,23,1,23,0,1,0,23,0,0
Johnny Bailey,22.6,31,699,0,15,3,48,0,0
Mike Williams,22.5,8,180,0,5,0,39,0,1
Kevin R. Williams,22.2,31,689,0,18,2,49,0,2
Leroy Hoard,22,13,286,0,9,0,39,0,0
Eric Lynch,22,1,22,0,1,0,22,0,0
David Mims,22,1,22,0,1,0,22,0,0
Marcus Wilson,21.9,9,197,0,6,0,37,0,0
Eric Ball,21.8,23,501,0,14,1,45,0,0
Ron Dickerson,21.6,11,237,0,3,2,44,0,0
Qadry Ismail,21.5,42,902,0,20,2,47,0,1
Curtis Conway,21.4,21,450,0,9,3,55,0,1
Terry Kirby,21.2,4,85,0,2,0,26,0,0
Eric Metcalf,21.2,15,318,0,7,1,47,0,0
Howard Griffith,21.1,8,169,0,5,0,29,0,0
Anthony Miller,21,2,42,0,1,0,29,0,0
Clarence Verdin,21,50,1050,0,33,0,38,0,1
John Henry Mills,20.9,11,230,0,7,0,37,0,0
Robert Delpino,20.9,7,146,0,3,1,49,0,0
Ray Crittenden,20.8,23,478,0,12,1,44,0,0
Derek Russell,20.8,18,374,0,6,1,49,0,0
Nate Lewis,20.7,33,684,0,15,3,60,0,1
Fred McAfee,20.7,28,580,0,17,2,55,0,2
Brian Mitchell,20.6,33,678,0,15,2,68,0,0
Eric Blount,20.4,8,163,0,4,0,27,0,0
Eric Guliford,20.2,5,101,0,3,0,29,0,0
Tim Worley,20.2,6,121,0,3,0,26,0,0
Michael Bates,20.1,30,603,0,15,1,46,0,1
Brad Lamb,20,2,40,0,1,0,23,0,0
Dexter Carter,19.8,25,494,0,12,1,60,1,2
Charles Wilson,19.7,23,454,0,9,1,42,1,1
Rod Woodson,19.6,15,294,0,7,1,44,0,1
Willie Drewrey,19.5,15,293,0,5,0,34,0,1
Ryan Benjamin,19.5,4,78,0,3,0,24,0,0
Blair Thomas,19.5,2,39,0,1,0,28,0,0
Derek Brown,19.3,3,58,0,1,0,23,0,0
Vai Sikahema,19.3,30,579,0,10,0,35,0,2
Desmond Howard,19.3,21,405,0,9,0,33,0,0
Leroy Thompson,19.2,4,77,0,2,0,27,0,0
Danan Hughes,19,14,266,0,7,0,30,0,0
Jason Phillips,19,2,38,0,1,0,29,0,0
Darrell Thompson,19,9,171,0,3,1,42,0,0
Willie Williams,19,1,19,0,0,0,19,0,0
Patrick Robinson,18.9,30,567,0,11,1,42,1,0
Vernon Turner,18.6,21,391,0,9,2,46,0,0
Randy Baldwin,18.5,24,444,0,7,0,31,0,1
Steve Israel,18.4,5,92,0,2,0,23,0,0
Russell Copeland,18.2,24,436,0,9,0,28,0,0
Kenneth Gant,18,1,18,0,0,0,18,0,0
Ronnie Harmon,18,1,18,0,0,0,18,0,0
