Player,Comb,Asst,Solo,Sck
Vincent Brown,157,53,104,1
Hardy Nickerson,156,39,117,1
Chris Spielman,147,39,108,0.5
Quentin Coryatt,140,37,103,1
Jessie Tuggle,139,33,106,2
Jeff Herrod,137,39,98,2
Kyle Clifton,136,48,88,1
Carlton Bailey,134,41,93,1.5
Johnny Holland,134,37,97,2
Marty Carter,129,18,111,0
Junior Seau,129,19,110,0
Darryl Williams,124,29,95,2
Ken Norton,123,25,98,2
Darryl Talley,123,22,101,2
Mike Johnson,121,32,89,4
Dante Jones,121,22,99,1
Roman Phifer,118,12,106,0
Mo Lewis,114,29,85,4
Jason Belser,111,27,84,0
Fred Strickland,110,26,84,0
Jack Del Rio,108,15,93,0.5
Vaughan Johnson,108,30,78,5
George Koonce,108,30,78,3
Marvcus Patton,108,33,75,1
Bruce Smith,106,24,82,14
Terry Wooden,106,35,71,2.5
Ricardo McDonald,105,14,91,1
Eugene Robinson,105,23,82,2
Ronnie Lott,104,34,70,1
Rod Stephens,104,22,82,2.5
Jarvis Williams,102,18,84,0
Darren Woodson,102,17,85,0
Winston Moss,101,18,83,0
Tyronne Stowe,101,33,68,1.5
Bill Romanowski,100,15,85,3
Gary Plummer,97,14,83,0
Joe Kelly,96,14,82,1
Stevon Moore,96,21,75,0
Steve Tovar,96,14,82,0
Todd F. Collins,93,32,61,1
Al Smith,93,26,67,0
Shaun Gayle,92,11,81,1
Lorenzo Lynch,92,16,76,1
Tim McDonald,92,11,81,0
James E. Williams,91,22,69,2
Cornelius Bennett,90,18,72,5
Tyrone Braxton,90,9,81,0
Kurt Gouveia,90,18,72,1.5
Eric Turner,90,22,68,0
Steve Atwater,89,16,73,1
Michael Brooks,89,18,71,1
LeRoy Butler,89,16,73,1
Bryan Cox,88,10,78,5
Derrick Hoskins,88,19,69,0
Kevin Ross,88,13,75,0.5
Donnell Woolford,88,6,82,0
Eric Hill,86,32,54,1
Duane Bickett,84,21,63,3.5
Darren Carrington,84,10,74,1
Brad Edwards,84,11,73,0
Stanley Richard,84,7,77,2
William White,84,23,61,1.5
Greg Lloyd,81,13,68,6
Marcus Robertson,81,19,62,0
Keith Taylor,81,23,58,0
John Booty,80,18,62,3
Tracy Simien,80,15,65,0
Rickey Jackson,79,12,67,11.5
Chester McGlockton,79,14,65,7
Sam Mills,79,17,62,2
Harlon Barnett,78,22,56,0
Byron Evans,78,9,69,0
Sean Gilbert,78,18,60,10.5
Henry Jones,78,11,67,2
Levon Kirkland,78,16,62,1
Tim Krumrie,78,19,59,3
Kevin Smith,78,9,69,0
Eddie Anderson,77,15,62,1
Tim Goad,77,24,53,0.5
Myron Guyton,77,17,60,0
Jon Hand,77,18,59,5.5
George Jamison,77,9,68,2
Carnell Lake,76,11,65,5
Bubba McDowell,76,19,57,1
Reggie White,76,19,57,13
Robert Blackmon,75,13,62,0
Vince Buck,75,11,64,3
Shane Conlan,75,19,56,0
Donald Frank,75,6,69,0
Cortez Kennedy,75,16,59,6.5
Andre Tippett,75,26,49,8.5
Chris Zorich,75,14,61,7
Gene Atkins,74,25,49,1
