Player,FF,FR,FR TD
Greg Lloyd,7,1,0
Lonnie Marts,6,1,0
Rickey Jackson,5,3,0
Neil Smith,5,3,0
Pat Swilling,5,1,0
Darryl Talley,5,2,0
Renaldo Turnbull,5,2,0
Trace Armstrong,4,3,0
Cris Dishman,4,2,1
Levon Kirkland,4,2,1
Ronnie Lott,4,2,0
Corey Miller,4,2,0
Kevin Murphy,4,0,0
Bruce Smith,4,1,0
Chuck Smith,4,2,0
Derrick Thomas,4,1,1
Eric Allen,3,0,0
Jerry Ball,3,0,0
Roy Barker,3,1,0
Blaine Bishop,3,1,0
Harry Colon,3,0,0
Chris Doleman,3,1,0
Simon Fletcher,3,1,0
Kurt Gouveia,3,0,0
Bobby Houston,3,1,0
Carlos Jenkins,3,1,0
John Johnson,3,1,0
Vaughan Johnson,3,0,0
Larry Kelm,3,0,0
Stevon Moore,3,1,1
Freddie Joe Nunn,3,1,0
John Randle,3,0,0
Chris Slade,3,1,0
Lawrence Taylor,3,1,0
William Thomas,3,3,0
Fernandus Vinson,3,3,0
Steve Atwater,2,0,0
Carlton Bailey,2,0,0
Michael Bankston,2,5,0
Michael Bates,2,2,0
Martin Bayless,2,0,0
Jason Belser,2,3,0
Cornelius Bennett,2,1,0
Tyrone Braxton,2,2,0
Michael Brooks,2,1,0
Chad Brown,2,0,0
Dennis Brown,2,0,0
J.B. Brown,2,0,0
LeRoy Butler,2,1,1
Marco Coleman,2,0,0
Andre Collins,2,0,0
John Copeland,2,0,0
Bryan Cox,2,4,0
Ron Cox,2,1,0
Eric Curry,2,1,0
Santana Dotson,2,0,0
Byron Evans,2,3,1
William Fuller,2,0,0
Dennis Gibson,2,1,0
Kevin Greene,2,3,0
Charles Haley,2,1,0
Keith Hamilton,2,1,0
Andy Harmon,2,2,0
Ken Harvey,2,0,0
Lamont Hollinquest,2,0,0
Mike Johnson,2,0,0
Tim Johnson,2,1,0
Henry Jones,2,1,0
Seth Joyner,2,0,0
Joe King,2,2,0
Mo Lewis,2,0,0
Lorenzo Lynch,2,3,1
Clay Matthews,2,0,0
Martin Mayhew,2,0,0
Skip McClendon,2,2,0
Michael McCrary,2,0,0
Terry McDaniel,2,0,0
Bubba McDowell,2,0,0
Darren Mickell,2,1,0
Sam Mills,2,1,1
Chris Oldham,2,0,0
Louis Oliver,2,1,0
Marvcus Patton,2,3,0
Bryce Paup,2,0,0
Michael Dean Perry,2,2,0
Bill Pickel,2,3,0
Gary Plummer,2,0,0
Marquez Pope,2,0,0
Marcus Robertson,2,3,1
Eugene Robinson,2,2,0
Rafael Robinson,2,1,0
Deion Sanders,2,0,0
Tracy Scroggins,2,1,0
Clyde Simmons,2,0,0
Kevin Smith,2,1,0
Tony Stargell,2,0,0
Michael Stewart,2,0,0
Fred Stokes,2,2,0
Dana Stubblefield,2,0,0
Greg Townsend,2,0,0
Jessie Tuggle,2,1,0
Everson Walls,2,0,0
Brian Washington,2,1,0
Marvin Washington,2,0,0
Reggie White,2,1,0
Marcus Wilson,2,1,0
Terry Wooden,2,1,0
Rod Woodson,2,0,0
Jeff Wright,2,1,0
Mike Zordich,2,0,0
Mel Agee,1,0,0
Chidi Ahanotu,1,0,0
Bruce Alexander,1,1,0
Eddie Anderson,1,1,0
Erick Anderson,1,0,0
Jesse Anderson,1,0,0
Jessie Armstead,1,0,0
Gene Atkins,1,2,0
Myron Baker,1,2,1
Micheal Barrow,1,0,0
John Baylor,1,0,0
Tony Bennett,1,0,0
Duane Bickett,1,1,0
Stephen Braggs,1,0,0
Michael Brandon,1,0,0
Michael Brim,1,1,0
Larry Brown,1,0,0
Vincent Brown,1,0,0
Vince Buck,1,2,0
Barney Bussey,1,1,0
Joe Cain,1,0,0
Jesse Campbell,1,0,0
Dale Carter,1,0,0
Marty Carter,1,2,0
Tony Casillas,1,1,0
Ray Childress,1,3,1
Willie Clay,1,2,2
Kyle Clifton,1,2,0
Monte Coleman,1,2,1
Todd F. Collins,1,1,0
Darion Conner,1,0,0
Toi Cook,1,3,0
Quentin Coryatt,1,0,0
Ray Crockett,1,1,0
Mike Croel,1,2,0
Jeff Cross,1,2,0
Eugene Daniel,1,0,0
Matt Darby,1,1,0
Charles Davenport,1,0,0
Eric Davis,1,1,1
Reuben Davis,1,1,0
Jack Del Rio,1,0,0
Richard Dent,1,0,0
Torin Dorn,1,0,0
Shane Dronett,1,0,0
Tracey Eaton,1,0,0
Dixon Edwards,1,1,0
Donald Evans,1,0,0
Doug Evans,1,2,0
Kevin Fagan,1,0,0
Deon Figures,1,2,0
Mike Flores,1,1,0
Albert Fontenot,1,0,0
William Frizzell,1,0,0
Eddie Fuller,1,0,0
James Fuller,1,0,0
Kenneth Gant,1,0,0
Carwell Gardner,1,0,0
Moe Gardner,1,0,0
Jumpy Geathers,1,0,0
Sean Gilbert,1,0,0
Vencie Glenn,1,0,0
Andrew Glover,1,0,0
Robert Goff,1,0,0
Chris Green,1,0,0
Darryl Hall,1,0,0
Rick Hamilton,1,1,0
Jon Hand,1,0,0
Phil Hansen,1,0,0
Roger Harper,1,1,0
Corey Harris,1,0,0
Tim Harris,1,0,0
Martin Harrison,1,0,0
Nolan Harrison,1,1,0
Richard Harvey,1,0,0
James Hasty,1,2,0
Wymon Henderson,1,0,0
Jessie Hester,1,0,0
Cliff Hicks,1,0,0
Eric Hill,1,1,0
Johnny Holland,1,2,0
Pierce Holt,1,0,0
Thomas Homco,1,0,0
Wes Hopkins,1,2,0
Erik Howard,1,0,0
Maurice Hurst,1,0,0
Greg Jackson,1,2,0
Steve Jackson,1,0,0
Vestee Jackson,1,0,0
George Jamison,1,0,0
James Jenkins,1,0,0
A.J. Johnson,1,0,0
Lee Johnson,1,0,0
Dante Jones,1,2,1
Sean Jones,1,2,0
Mike D. Jones,1,0,0
Rod Jones,1,1,0
John Jurkovic,1,0,0
Cortez Kennedy,1,1,0
Terry Kirby,1,0,0
Chuck Klingbeil,1,0,0
George Koonce,1,1,0
Tim Krumrie,1,0,0
Carnell Lake,1,2,0
Dion Lambert,1,0,0
Lamar Lathon,1,1,0
Albert Lewis,1,2,0
Antonio London,1,0,0
Sean Lumpkin,1,0,0
John Lynch,1,0,0
Mark Maddox,1,2,0
Brock Marion,1,1,0
Chris Martin,1,1,0
Wayne Martin,1,2,0
Robert Massey,1,2,0
Ed McCaffrey,1,0,0
Ricardo McDonald,1,0,0
Lamar McGriggs,1,0,0
Audray McMillian,1,1,0
Dexter McNabb,1,0,0
Karl Mecklenburg,1,2,0
Rich Miano,1,1,0
Ron Middleton,1,0,0
Les Miller,1,0,0
Chris Mims,1,2,0
Kevin Miniefield,1,0,0
Roland Mitchell,1,0,0
Glenn Montgomery,1,3,0
Jim Morrissey,1,1,0
Winston Moss,1,0,0
Adrian Murrell,1,0,0
Hardy Nickerson,1,1,0
Brent Novoselsky,1,0,0
Nate Odomes,1,1,1
Leslie O'Neal,1,1,0
Willie Oshodin,1,0,0
Dan Owens,1,2,0
Sterling Palmer,1,0,0
William Perry,1,0,0
Lawrence Pete,1,2,0
Mike Pitts,1,0,0
Robert Porcher,1,0,0
Scott Radecic,1,0,0
Corey Raymond,1,0,0
Jeff Robinson,1,1,0
Bill Romanowski,1,1,0
Kevin Ross,1,1,0
Dwayne Sabb,1,0,0
Dan Saleaumua,1,1,1
Junior Seau,1,1,0
Ed Simmons,1,0,0
Michael Sinclair,1,0,0
Tony Siragusa,1,0,0
Anthony Smith,1,0,0
Dennis Smith,1,0,0
Rod Smith,1,0,0
Alonzo Spellman,1,0,0
Chris Spielman,1,2,0
Joel Steed,1,1,0
Rod Stephens,1,1,1
Justin Strzelczyk,1,1,0
Eric Swann,1,1,0
Mike Teeter,1,0,0
Broderick Thomas,1,1,0
Eric Thomas,1,0,0
Henry Thomas,1,0,0
Johnny Thomas,1,1,0
Andre Tippett,1,4,0
Floyd Turner,1,0,0
Sean Vanhorse,1,0,0
Aaron Wallace,1,2,0
Steve Wallace,1,1,0
Derek Ware,1,0,0
James Washington,1,1,0
Leonard Wheeler,1,1,0
Leon White,1,0,0
William White,1,0,0
David Whitmore,1,0,0
Alfred Williams,1,0,0
Dan Williams,1,1,0
Darryl Williams,1,2,0
James E. Williams,1,0,0
Willie Williams,1,0,0
Blaise Winter,1,1,0
Darren Woodson,1,3,0
Donnell Woolford,1,0,0
Lonnie Young,1,1,0
Robert Young,1,0,0
Chris Zorich,1,2,0
Bobby Abrams,0,0,0
Tommie Agee,0,0,0
Ray Agnew,0,0,0
Louie Aguiar,0,0,0
Elijah Alexander,0,0,0
Harold Alexander,0,0,0
Marcus Allen,0,0,0
Brian Allred,0,0,0
Jeff Alm,0,0,0
Ashley Ambrose,0,0,0
Kimble Anders,0,0,0
Morten Andersen,0,0,0
Neal Anderson,0,0,0
Darren Anderson,0,0,0
Gary Anderson,0,0,0
Richie Anderson,0,0,0
Flipper Anderson,0,0,0
Sam Anno,0,0,0
Charles Arbuckle,0,0,0
Lester Archambeau,0,0,0
Bruce Armstrong,0,0,0
Tyji Armstrong,0,0,0
Matt Bahr,0,0,0
Johnny Bailey,0,0,0
Robert Bailey,0,0,0
Randy Baldwin,0,0,0
Eric Ball,0,0,0
Michael Ball,0,0,0
Howard Ballard,0,0,0
Carl Banks,0,0,0
Kurt Barber,0,0,0
Corey Barlow,0,0,0
Reggie Barnes,0,0,0
Fred Barnett,0,0,0
Harlon Barnett,0,0,0
Oliver Barnett,0,0,0
Tim Barnett,0,0,0
Tommy Barnhardt,0,0,0
Patrick Bates,0,0,0
Bill Bates,0,1,0
Greg Baty,0,0,0
David Bavaro,0,1,0
Mark Bavaro,0,0,0
Fred Baxter,0,0,0
Pat Beach,0,0,0
Sanjay Beach,0,1,0
Willie Beamon,0,0,0
Don Beebe,0,0,0
Edgar Bennett,0,0,0
Rod Bernstine,0,0,0
Ray Berry,0,0,0
Steve Beuerlein,0,0,0
Greg Biekert,0,0,0
J.J. Birden,0,0,0
Robert Blackmon,0,1,1
Jeff Blackshear,0,0,0
Brian Blades,0,0,0
Bennie Blades,0,0,0
Anthony Blaylock,0,0,0
John Booty,0,0,0
Mark Bortz,0,0,0
Marc Boutte,0,1,0
Joe Bowden,0,1,0
Todd Bowles,0,1,0
Deral Boykin,0,1,1
Ronnie Bradford,0,0,0
Ed Brady,0,0,0
Jeff Brady,0,1,0
John Brandes,0,1,0
David Brandon,0,0,0
David Braxton,0,0,0
Darrick Brilz,0,0,0
Vincent Brisby,0,0,0
Bubby Brister,0,0,0
Matt Brock,0,1,0
Stan Brock,0,0,0
Reggie Brooks,0,0,0
Robert Brooks,0,0,0
Bill Brooks,0,0,0
Bern Brostek,0,0,0
Willie Broughton,0,0,0
Tony Brown,0,0,0
Chad Brown,0,0,0
Corwin Brown,0,1,0
Derek Brown,0,0,0
Gary Brown,0,0,0
Gilbert Brown,0,0,0
Ray Brown,0,0,0
Monty Brown,0,0,0
Tim Brown,0,0,0
Darrick Brownlow,0,0,0
Aundray Bruce,0,1,0
Rick Bryan,0,0,0
Jeff Bryant,0,0,0
Ray Buchanan,0,0,0
Jason Buck,0,0,0
Curtis Buckley,0,0,0
Terrell Buckley,0,0,0
Marcus Buckley,0,1,0
Chuck Bullough,0,0,0
Jarrod Bunch,0,0,0
Rob Burnett,0,2,0
Reggie Burnette,0,0,0
Blair Bush,0,0,0
Lewis Bush,0,0,0
Paul Butcher,0,0,0
Glenn Cadrez,0,0,0
Mike Caldwell,0,1,0
Chris Calloway,0,0,0
Rich Camarillo,0,0,0
Jeff Campbell,0,0,0
Cody Carlson,0,0,0
John Carney,0,0,0
Ron Carpenter,0,0,0
Mark Carrier,0,0,0
Mark Carrier,0,0,0
Darren Carrington,0,1,0
Wesley Carroll,0,0,0
Anthony Carter,0,0,0
Cris Carter,0,0,0
Dexter Carter,0,0,0
Tom Carter,0,0,0
Pat Carter,0,0,0
Jason Carthen,0,0,0
Scott Case,0,0,0
Keith Cash,0,1,0
Kerry Cash,0,0,0
Eric Castle,0,0,0
Toby Caston,0,0,0
Chuck Cecil,0,0,0
Larry Centers,0,0,0
Pat Chaffey,0,0,0
Mike Chalenski,0,0,0
Mark Chmura,0,0,0
Bob Christian,0,0,0
Steve Christie,0,0,0
Eugene Chung,0,0,0
Robert Claiborne,0,0,0
Sam Clancy,0,1,0
Gary Clark,0,0,0
Vinnie Clark,0,1,1
Mark Clayton,0,0,0
Ben Coates,0,0,0
Mike Cofer,0,0,0
Keo Coleman,0,1,0
Pat Coleman,0,0,0
Brett Collins,0,0,0
Mark Collins,0,0,0
Shane Collins,0,1,0
Shane Conlan,0,0,0
Scott Conover,0,0,0
Curtis Conway,0,0,0
Marv Cook,0,0,0
Louis Cooper,0,0,0
Danny Copeland,0,0,0
Horace Copeland,0,0,0
Russell Copeland,0,0,0
Terry Crews,0,0,0
Jeff Criswell,0,0,0
Ray Crittenden,0,0,0
Corey Croom,0,0,0
Brad Culpepper,0,0,0
Rodney Culver,0,1,1
Rick Cunningham,0,0,0
Randy Cuthbert,0,0,0
Bob Dahl,0,0,0
Brad Daluiso,0,0,0
Don Davey,0,0,0
Kenny Davidson,0,1,1
Anthony Davis,0,0,0
Brian Davis,0,0,0
Dexter Davis,0,0,0
Greg Davis,0,0,0
Willie Davis,0,0,0
Dale Dawkins,0,0,0
Sean Dawkins,0,0,0
Lawrence Dawsey,0,0,0
Dermontti Dawson,0,0,0
Doug Dawson,0,0,0
Al Del Greco,0,0,0
Jeff Dellenbach,0,1,0
Keith DeLong,0,1,0
Steve DeOssie,0,0,0
Ty Detmer,0,0,0
Ron Dickerson,0,0,0
Scott Dill,0,0,0
Stacey Dillard,0,0,0
Charles Dimry,0,0,0
Howard Dinkins,0,0,0
Gerald Dixon,0,0,0
Randy Dixon,0,0,0
Rickey Dixon,0,0,0
Mitch Donahue,0,0,0
Jeff Donaldson,0,0,0
Ray Donaldson,0,0,0
Kevin Donnalley,0,0,0
Maurice Douglass,0,0,0
Marcus Dowdell,0,0,0
Troy Drayton,0,0,0
Willie Drewrey,0,0,0
Darren Drozdov,0,0,0
