Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Emmitt Smith,1486,283,9,11,3,62,74,26.2,4
Jerome Bettis,1429,294,7,6,2,71,79,26.9,3
Thurman Thomas,1315,355,6,3,0,27,70,19.7,6
Erric Pegram,1185,292,3,4,0,29,65,22.3,5
Barry Sanders,1115,243,3,16,1,42,46,18.9,2
Leonard Russell,1088,300,7,2,0,21,66,22,2
Rodney Hampton,1077,292,5,2,0,20,63,21.6,2
Chris Warren,1072,273,7,3,1,45,60,22,3
Reggie Brooks,1063,223,3,6,3,85,43,19.3,4
Ronald Moore,1018,263,9,2,0,20,61,23.2,3
Gary Brown,1002,195,6,3,0,26,55,28.2,4
Ricky Watters,950,208,10,5,0,39,54,26,5
Johnny Johnson,821,198,3,3,1,57,40,20.2,2
Rod Bernstine,816,223,4,1,0,24,41,18.4,3
Marcus Allen,764,206,12,3,0,39,55,26.7,4
Leroy Thompson,763,205,3,2,0,36,45,22,7
Marion Butts,746,185,4,1,0,27,35,18.9,0
Herschel Walker,746,174,1,5,0,35,33,19,1
Barry Foster,711,177,8,2,0,38,44,24.9,2
Roosevelt Potts,711,179,0,2,0,34,32,17.9,6
Derek Brown,705,180,2,3,1,60,35,19.4,1
Mark Higgs,693,186,3,3,0,31,35,18.8,1
Reggie Cobb,658,221,3,0,0,16,37,16.7,5
Darrell Thompson,654,169,3,5,1,60,30,17.8,2
Neal Anderson,646,202,4,2,1,45,33,16.3,2
Natrone Means,645,160,8,4,1,65,48,30,1
Tommy Vardell,644,171,3,2,1,54,37,21.6,2
Eric Metcalf,611,129,1,5,1,55,25,19.4,2
Greg Robinson,591,156,1,0,0,16,29,18.6,2
Harold Green,589,215,0,1,0,25,29,13.5,3
Lewis Tillman,585,121,3,4,1,58,30,24.8,1
Brad Baxter,559,174,7,0,0,16,34,19.5,1
Edgar Bennett,550,159,9,0,0,19,46,28.9,0
Scottie Graham,488,118,3,2,0,31,30,25.4,0
Derrick Fenner,482,121,1,2,0,26,36,29.8,0
Tim Worley,470,120,2,2,0,28,27,22.5,2
Lorenzo White,465,131,2,0,0,14,23,17.6,1
Barry Word,458,142,2,0,0,14,25,17.6,2
Robert Delpino,445,131,8,0,0,18,36,27.5,1
Steve Young,407,69,2,1,0,35,28,40.6,2
Heath Sherman,406,115,2,0,0,19,29,25.2,1
Derrick Moore,405,88,3,3,1,48,31,35.2,4
Robert Smith,399,82,2,2,0,26,19,23.2,0
Kenneth Davis,391,109,6,0,0,19,27,24.8,3
Terry Kirby,390,119,3,1,0,20,25,21,2
John L. Williams,371,82,3,2,0,38,24,29.3,2
Rick Mirer,343,68,3,1,0,33,20,29.4,8
Anthony Johnson,331,95,1,0,0,14,17,17.9,4
Dave Meggett,329,69,0,2,0,23,17,24.6,0
Vaughn Hebron,297,84,3,2,0,33,19,22.6,3
Cleveland Gary,293,79,1,0,0,15,19,24,0
Kimble Anders,291,75,0,0,0,18,9,12,1
Vince Workman,284,78,2,1,0,21,22,28.2,1
David Klingler,282,41,0,4,0,29,14,34.2,3
Marc Logan,280,58,7,3,2,45,20,34.5,2
Todd McNair,278,51,2,1,1,47,15,29.4,2
Jim Harbaugh,277,60,4,3,0,25,20,33.3,4
Keith Byars,269,64,3,1,1,77,15,23.4,0
Derrick Lassic,269,75,3,0,0,15,13,17.3,2
Garrison Hearst,264,76,1,1,1,57,12,15.8,2
Johnny Bailey,253,49,1,1,0,31,17,34.7,1
Merril Hoge,249,51,1,2,0,30,14,27.4,0
Brian Mitchell,246,63,3,1,0,29,23,36.5,0
Glyn Milburn,231,52,0,1,0,26,14,26.9,1
Kevin Turner,231,50,0,1,1,49,15,30,1
Amp Lee,230,72,1,0,0,13,14,19.4,1
Wade Wilson,230,31,0,4,1,44,12,38.7,2
Leroy Hoard,227,56,0,3,0,30,11,19.6,3
Blair Thomas,221,59,1,1,0,24,8,13.6,0
Brett Favre,216,58,1,2,0,27,13,22.4,6
Ronnie Harmon,216,46,0,0,0,19,15,32.6,0
Brad Muster,214,64,3,0,0,18,14,21.9,0
Eric Lynch,207,53,2,0,0,15,11,20.8,1
Steve Broussard,206,39,1,1,0,26,15,38.5,0
Craig Heyward,206,68,0,0,0,11,13,19.1,1
Jeff Hostetler,202,55,5,0,0,19,19,34.6,2
Ricky Ervins,201,50,0,0,0,18,11,22,2
Corey Croom,198,60,1,1,0,22,13,21.7,1
John Stephens,191,54,1,1,0,22,8,14.8,0
Nick Bell,180,67,1,0,0,12,10,14.9,1
Lorenzo Neal,175,21,1,2,1,74,6,28.6,1
Dalton Hilliard,165,50,2,0,0,16,14,28,0
Rodney Peete,165,45,1,1,0,28,10,22.2,4
Fred McAfee,160,51,1,1,0,27,7,13.7,1
Adrian Murrell,157,34,1,2,0,37,6,17.6,0
Steve Smith,156,47,0,0,0,13,10,21.3,1
John Elway,153,44,0,0,0,18,11,25,4
Jon Vaughn,153,36,0,1,0,37,8,22.2,0
Larry Centers,152,25,0,1,0,33,9,36,0
Rodney Culver,150,65,3,0,0,9,19,29.2,2
Sam Gash,149,48,1,0,0,14,15,31.2,1
Harvey Williams,149,42,0,0,0,19,5,11.9,3
Warren Moon,145,48,1,1,0,35,12,25,7
James Joseph,140,39,0,0,0,12,10,25.6,0
Eric Bieniemy,135,33,1,0,0,12,9,27.3,1
Lincoln Coleman,132,34,2,0,0,16,6,17.6,1
Jarrod Bunch,128,33,2,0,0,13,7,21.2,1
Troy Aikman,125,32,0,1,0,20,6,18.8,3
Dwight Stone,121,12,1,2,0,38,5,41.7,0
Roger Craig,119,38,1,0,0,11,4,10.5,0
Boomer Esiason,118,45,1,0,0,17,15,33.3,7
Mazio Royster,115,33,1,0,0,19,7,21.2,0
Napoleon McCallum,114,37,3,0,0,14,7,18.9,1
Neil O'Donnell,111,26,0,2,0,27,4,15.4,3
Randall Cunningham,110,18,1,1,0,26,5,27.8,2
Tyrone Montgomery,106,37,0,0,0,15,10,27,1
Earnest Byner,105,23,1,0,0,16,5,21.7,0
Jim Kelly,102,36,0,0,0,17,6,16.7,3
T.J. Rubley,102,29,0,0,0,13,6,20.7,3
Craig Erickson,96,26,0,0,0,15,8,30.8,1
Jim McMahon,96,33,0,0,0,16,5,15.2,2
Spencer Tillman,94,9,0,1,0,34,5,55.6,0
Eric Dickerson,91,26,0,0,0,10,4,15.4,0
Scott Mitchell,89,21,0,1,0,32,6,28.6,2
Rich Gannon,88,21,1,0,0,12,3,14.3,0
Drew Bledsoe,82,32,0,0,0,15,6,18.8,5
Tom Rathman,80,19,3,0,0,19,7,36.8,0
Daryl Johnston,74,24,3,0,0,11,14,58.3,1
Tim Lester,74,11,0,1,0,26,8,72.7,0
Vinny Testaverde,74,18,0,0,0,14,5,27.8,0
Dexter Carter,72,10,1,1,1,50,3,30,0
Derrick Ned,71,9,1,1,0,35,4,44.4,0
Jerry Rice,69,3,1,1,1,43,2,66.7,0
Joe Montana,64,25,0,0,0,17,3,12,1
Randy Baldwin,61,18,0,0,0,11,4,22.2,1
Gary Anderson,56,28,0,0,0,13,4,14.3,0
Carwell Gardner,56,20,0,0,0,8,7,35,1
Ostell Miles,56,22,1,0,0,15,3,13.6,0
Shawn Jefferson,53,5,0,1,0,33,4,80,0
Brian Blades,52,5,0,1,0,26,2,40,0
Vince Evans,51,14,0,0,0,17,6,42.9,0
Reggie Rivers,50,15,1,0,0,14,3,20,0
Bobby Hebert,49,24,0,0,0,14,5,20.8,3
Billy Joe Tolliver,48,7,0,1,0,24,2,28.6,0
Ricky Proehl,47,8,0,0,0,17,2,25,1
Steve Beuerlein,45,22,0,1,0,20,4,18.2,2
Curtis Conway,44,5,0,0,0,18,2,40,0
Kenyon Rasheed,42,9,1,1,0,23,2,22.2,0
Cody Carlson,41,14,2,0,0,10,4,28.6,2
Jay Schroeder,41,10,0,1,0,20,2,20,1
Bubby Brister,39,20,0,0,0,13,7,35,1
Jeff George,39,13,0,0,0,14,1,7.7,1
Jim Everett,38,19,0,0,0,14,2,10.5,1
Eric Ball,37,8,1,0,0,18,4,50,0
Stan Humphries,37,8,0,1,0,27,2,25,0
Nate Turner,36,11,0,0,0,10,5,45.4,0
Horace Copeland,34,3,0,1,0,22,1,33.3,0
Fred Jones,34,5,0,0,0,13,1,20,0
Randy Jordan,33,12,0,0,0,12,2,16.7,1
Kevin Mack,33,10,1,0,0,7,2,20,0
Scott Secules,33,8,0,0,0,13,1,12.5,2
Clarence Verdin,33,3,0,1,0,29,1,33.3,0
Quinn Early,32,2,0,1,0,26,1,50,0
Chuck Evans,32,14,0,0,0,5,1,7.1,0
Phil Simms,31,28,0,0,0,9,6,21.4,4
Bill Brooks,30,3,0,0,0,15,1,33.3,0
Derrick Gainer,29,9,0,0,0,8,1,11.1,0
Robert Green,29,15,0,0,0,10,3,20,0
Rudy Harris,29,7,0,0,0,12,1,14.3,0
David Lang,29,9,0,1,0,28,1,11.1,0
Eric Blount,28,5,1,0,0,7,1,20,0
Ernie Thompson,28,11,0,0,0,14,1,9.1,0
Mark Carrier,26,4,1,0,0,15,2,50,0
Bernie Kosar,26,23,0,0,0,10,4,17.4,5
Kevin R. Williams,26,7,2,0,0,12,3,42.9,1
Mark Jackson,25,3,0,1,0,20,2,66.7,0
Dave Krieg,24,21,0,1,0,20,4,19,2
Andre Ware,23,7,0,0,0,8,1,14.3,0
Andre Reed,21,9,0,0,0,15,1,11.1,2
Terance Mathis,20,2,1,0,0,17,1,50,1
Anthony Carter,19,7,0,0,0,9,0,0,0
Bob Christian,19,8,0,0,0,12,1,12.5,0
Ernest Givins,19,6,0,0,0,16,1,16.7,0
Tommy Barnhardt,18,1,0,0,0,18,1,100,0
Henry Ellard,18,2,0,0,0,15,1,50,0
Robert Brooks,17,3,0,1,0,21,1,33.3,0
Pat Chaffey,17,5,0,0,0,7,2,40,0
Desmond Howard,17,2,0,0,0,9,2,100,0
Ken O'Brien,17,4,0,0,0,11,0,0,0
John Taylor,17,2,0,0,0,12,1,50,0
Adam Walker,17,5,0,0,0,11,1,20,0
Bernie Parmalee,16,4,0,0,0,12,2,50,0
Brett Perriman,16,4,0,0,0,16,1,25,0
Steve Bono,14,12,1,0,0,10,3,25,0
Qadry Ismail,14,3,0,0,0,6,0,0,0
Tommie Agee,13,6,0,0,0,6,1,16.7,0
Darren Lewis,13,7,0,0,0,3,0,0,0
Jeff Query,13,2,0,0,0,8,0,0,0
James Saxon,13,5,0,0,0,9,1,20,0
Michael Bates,12,2,0,0,0,6,0,0,0
Ernie Mills,12,3,0,0,0,19,1,33.3,0
Chris Miller,11,2,0,0,0,6,0,0,0
Rohn Stark,11,1,0,0,0,11,1,100,0
Todd Kinchen,10,2,0,0,0,8,0,0,0
Le'Shai Maston,10,1,0,0,0,10,0,0,1
Russell White,10,2,0,0,0,5,1,50,0
Bucky Richardson,9,2,0,0,0,11,1,50,0
Tracy Johnson,8,2,0,0,0,5,0,0,0
Sterling Sharpe,8,4,0,0,0,5,0,0,0
Tim Brown,7,2,0,0,0,14,1,50,1
Randy Cuthbert,7,1,0,0,0,7,1,100,0
Troy Drayton,7,1,0,0,0,7,0,0,0
Aubrey Matthews,7,2,0,0,0,9,0,0,0
Ricky Sanders,7,1,0,0,0,7,0,0,0
Charles Wilson,7,2,0,0,0,4,0,0,0
Jeff Feagles,6,2,0,0,0,6,0,0,0
Michael Irvin,6,2,0,0,0,9,0,0,0
Tony Martin,6,1,0,0,0,6,0,0,0
Anthony McDowell,6,2,0,0,0,3,0,0,1
Patrick Robinson,6,1,0,0,0,6,0,0,0
Ed Toner,6,2,0,0,0,6,0,0,0
Gary Wellman,6,2,0,0,0,4,0,0,1
Peter Tom Willis,6,2,0,0,0,6,0,0,1
Tyji Armstrong,5,2,0,0,0,4,0,0,0
Ryan Benjamin,5,3,0,0,0,2,0,0,0
Erik Kramer,5,10,0,0,0,4,1,10,0
Ernie Jones,4,1,0,0,0,4,0,0,0
Don Majkowski,4,2,0,0,0,4,0,0,1
Mike Pritchard,4,2,0,0,0,4,0,0,0
Mark Rypien,4,9,3,0,0,5,4,44.4,1
Doug Thomas,4,1,0,0,0,4,0,0,0
Tim Barnett,3,1,0,0,0,3,0,0,0
John Friesz,3,10,0,0,0,2,4,40,2
David Mims,3,1,0,0,0,3,0,0,0
Todd Philcox,3,2,1,0,0,3,1,50,1
Jack Trudeau,3,5,0,0,0,2,0,0,2
Marcus Wilson,3,6,0,0,0,5,1,16.7,1
Dale Carter,2,1,0,0,0,2,0,0,0
Chris Chandler,2,3,0,0,0,1,1,33.3,1
James Jones,2,2,1,0,0,1,1,50,0
Nate Lewis,2,3,0,0,0,7,2,66.7,1
Rueben Mayes,2,1,0,0,0,2,0,0,0
Jay Novacek,2,1,1,0,0,2,1,100,0
Mike Saxon,2,2,0,0,0,2,0,0,0
Pat Coleman,1,1,0,0,0,1,0,0,0
Michael Jackson,1,1,0,0,0,1,0,0,0
Curvin Richards,1,4,0,0,0,1,0,0,0
Mike Buck,0,1,0,0,0,0,0,0,1
Rich Camarillo,0,1,0,0,0,0,0,0,0
Keith Cash,0,1,0,0,0,0,0,0,0
Steve Hendrickson,0,1,0,0,0,0,0,0,0
James Jett,0,1,0,0,0,0,0,0,0
Kelvin Martin,0,1,0,0,0,0,0,0,0
Anthony Miller,0,1,0,0,0,0,0,0,0
Reggie Roby,0,1,0,0,0,0,0,0,0
Tom Rouen,0,1,0,0,0,0,0,0,0
Klaus Wilmsmeyer,0,2,0,0,0,0,0,0,2
Rod Woodson,0,1,0,0,0,0,0,0,0
Scott Zolak,0,1,0,0,0,0,0,0,0
Stan Gelbaugh,-1,1,0,0,0,-1,0,0,0
Dan McGwire,-1,1,0,0,0,-1,0,0,0
Art Monk,-1,1,0,0,0,-1,0,0,0
Doug Pederson,-1,2,0,0,0,-1,0,0,1
Sean Salisbury,-1,10,0,0,0,6,1,10,2
Cary Conklin,-2,2,0,0,0,-1,0,0,0
Ty Detmer,-2,1,0,0,0,-2,0,0,0
John Fina,-2,1,0,0,0,-2,0,0,0
Tommy Maddox,-2,2,0,0,0,-1,0,0,0
Ray Crittenden,-3,1,0,0,0,-3,0,0,0
Kent Graham,-3,2,0,0,0,-1,0,0,0
Bill Musgrave,-3,3,0,0,0,-1,0,0,0
Dave Brown,-4,3,0,0,0,-1,0,0,0
Steve DeBerg,-4,4,0,0,0,-1,0,0,0
Irving Fryar,-4,3,0,0,0,2,0,0,0
Dan Marino,-4,9,1,0,0,4,1,11.1,2
O.J. McDuffie,-4,1,0,0,0,-4,0,0,0
Mike Tomczak,-4,5,0,0,0,2,0,0,0
Steve Walsh,-4,4,0,0,0,-1,0,0,0
Raghib Ismail,-5,4,0,0,0,10,1,25,0
Rob Moore,-6,1,0,0,0,-6,0,0,0
Frank Reich,-6,6,0,0,0,-1,0,0,0
Harold Alexander,-7,2,0,0,0,-7,0,0,0
Jason Garrett,-8,8,0,0,0,-1,0,0,1
Jeff Gossett,-10,1,0,0,0,-10,0,0,0
John Kidd,-13,3,1,0,0,2,1,33.3,0
Louie Aguiar,-27,3,0,0,0,5,0,0,1
