Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Darrell Green,27,1,27,0,1,0,24,1,0
Ray Crittenden,18.5,2,37,0,1,0,30,1,0
Danan Hughes,16.3,3,49,0,2,0,29,0,0
Mark Carrier,15.3,6,92,1,1,1,56,1,0
Pat Newman,14,1,14,0,0,0,14,0,0
Tyrone Hughes,13.6,37,503,2,6,2,83,21,0
Eric Metcalf,12.9,36,464,2,3,2,91,11,1
Darrien Gordon,12.7,31,395,0,7,1,54,15,4
Dexter Carter,12.1,34,411,1,5,1,72,20,3
Tim Brown,11.6,40,465,1,3,1,74,20,0
Mike Prior,11.4,17,194,0,4,0,24,3,3
O.J. McDuffie,11.3,28,317,2,3,2,72,22,3
Courtney Hawkins,11.1,15,166,0,3,0,35,8,1
Glyn Milburn,10.6,40,425,0,4,1,54,11,5
Kevin R. Williams,10.6,36,381,2,3,2,64,14,5
Deion Sanders,10.5,2,21,0,0,0,16,1,0
Dave Meggett,10.3,32,331,1,2,1,75,20,0
Eric Blount,10,9,90,0,1,0,25,3,0
Dave McCloughan,10,1,10,0,0,0,10,0,0
Cliff Hicks,9.2,17,157,0,1,0,20,4,2
Dale Carter,9.2,27,247,0,5,0,30,4,4
Henry Ellard,9,2,18,0,0,0,13,8,0
Troy Brown,9,25,224,0,0,0,19,9,0
Vernon Turner,8.9,17,152,0,1,1,53,4,1
Russell Copeland,8.8,31,274,1,2,1,47,7,1
Ronnie Harris,8.7,23,201,0,2,0,21,4,2
J.J. Birden,8.6,5,43,0,0,0,12,3,0
Mel Gray,8.6,23,197,0,3,0,35,14,1
Robert Brooks,8.4,16,135,0,2,0,35,4,1
Kelvin Martin,8.4,32,270,0,2,0,33,15,0
Vai Sikahema,8.3,33,275,0,2,0,25,20,2
Terry Obee,8.3,35,289,0,3,0,28,20,1
Johnny Bailey,8.1,35,282,1,2,1,58,5,3
Rod Woodson,8,42,338,0,2,0,39,10,1
Darryl Henley,8,1,8,0,0,0,8,0,0
Tony Smith,8,32,255,0,2,1,51,17,3
Eric Guliford,7.3,29,212,0,1,1,50,15,1
Anthony Parker,7.1,9,64,0,1,0,20,6,0
Patrick Robinson,7.1,43,305,0,3,0,36,6,2
Terance Mathis,7.1,14,99,0,0,0,16,8,3
Terrell Buckley,6.9,11,76,0,1,0,39,5,1
Willie Drewrey,6.7,41,275,0,0,0,18,19,1
Brian Mitchell,6.7,29,193,0,1,1,48,7,3
Gary Anderson,6.6,17,113,0,0,0,15,1,3
Desmond Howard,6.2,4,25,0,0,0,13,0,0
Clarence Verdin,5.8,30,173,0,1,0,24,17,2
Nate Lewis,5.7,3,17,0,0,0,7,2,0
Robert Claiborne,5.3,6,32,0,0,0,13,6,2
Richard Buchanan,5.1,8,41,0,0,0,12,1,0
Todd Kinchen,4.6,7,32,0,0,0,8,4,0
Charles Mincy,4.5,2,9,0,0,0,9,0,0
Anthony Edwards,4,3,12,0,0,0,11,3,0
Carl Pickens,4,4,16,0,0,0,9,2,1
Robert Smith,4,1,4,0,0,0,4,2,0
Bill Brooks,3,1,3,0,0,0,3,0,0
Deon Figures,3,5,15,0,0,0,6,2,2
Mitchell Price,3,1,3,0,0,0,3,2,0
Ronnie Bradford,0,1,0,0,0,0,0,0,1
Vinnie Clark,0,1,0,0,0,0,0,0,0
Larry Kelm,0,1,0,0,0,0,0,0,1
Alvoid Mays,0,1,0,0,0,0,0,0,1
Marcello Simmons,0,1,0,0,0,0,0,0,0
Rod Smith,0,1,0,0,0,0,0,0,0
Steve Tasker,0,1,0,0,0,0,0,0,1
James Washington,0,1,0,0,0,0,0,0,1
George Teague,-1,1,-1,0,0,0,-1,0,0
