Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Raiders,45.1,3380,75,50.4,83,3783,34,15,3,6,20,31,283,0,0
Cowboys,44.9,1975,44,51.4,63,2262,17,2,3,2,13,24,247,0,0
Seahawks,44.1,2911,66,50,73,3303,25,3,9,8,12,34,232,0,0
Jaguars,43.8,2670,61,47.4,65,2893,29,8,5,4,22,22,143,0,0
Titans,43.5,3440,79,50.7,74,4008,36,10,9,12,19,29,328,0,1
Eagles,43.1,2240,52,48.8,63,2537,17,2,10,1,7,32,277,0,0
Texans,43,3443,80,46.7,74,3735,32,6,10,5,30,29,192,0,0
Panthers,43,3528,82,46.8,69,3838,25,6,14,5,26,31,210,0,0
Colts,43,2921,68,48.2,69,3281,21,7,10,0,13,38,360,0,1
Cardinals,42.9,2746,64,49.6,77,3172,13,3,10,3,12,36,366,0,0
49ers,42.7,2220,52,47.7,67,2480,26,4,11,2,13,22,220,0,0
Browns,42.4,3819,90,49.4,73,4449,31,13,7,9,16,45,450,0,0
Giants,42.3,4022,95,46,74,4372,35,7,9,4,36,39,270,0,0
Broncos,42.3,3344,79,46.3,68,3659,27,7,8,6,27,31,195,0,0
Chargers,42.3,3174,75,46.3,83,3475,30,4,8,4,31,28,221,0,0
Chiefs,41.8,2469,59,47,68,2776,20,4,10,5,20,20,207,0,0
Buccaneers,41.8,3219,77,50,74,3854,26,11,9,9,9,38,455,0,0
Jets,41.8,4136,99,48.8,62,4831,36,8,7,8,28,48,535,1,0
Commanders,41.8,3050,73,46,66,3361,30,1,11,2,25,34,271,0,2
Lions,41.7,2378,57,46.4,70,2646,26,3,8,5,20,21,168,0,0
Falcons,41.5,3110,75,47,66,3523,27,12,5,3,24,31,353,0,0
Vikings,41.2,2470,60,48.1,68,2887,16,7,2,7,16,28,277,0,0
Patriots,40.8,3999,98,46.9,79,4598,38,14,8,8,24,44,439,0,0
Dolphins,40.7,2157,53,45.7,66,2424,20,6,8,3,19,17,207,1,0
Bengals,40.3,3066,76,44.3,62,3369,20,8,8,5,26,29,203,0,0
Bills,39.9,2037,51,45.8,70,2334,24,5,7,3,17,19,237,1,0
Ravens,39.8,2625,66,47.8,67,3158,28,8,4,5,17,32,433,1,1
Saints,39.8,2981,75,43,62,3224,31,10,8,4,24,29,163,0,0
Packers,39.7,2264,57,46.2,68,2634,18,2,5,5,22,23,270,1,0
Steelers,39.2,3485,89,44,63,3914,33,11,11,8,30,29,269,0,0
Rams,39.1,2466,63,49.2,72,3101,20,7,5,7,12,32,495,2,1
Bears,38,2547,67,46.1,76,3088,18,6,10,8,13,30,381,1,0
