Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Texans,26.6,23,613,2,15,2,98,1,0
Panthers,26.5,24,637,0,19,2,52,0,1
Patriots,26.2,18,471,1,13,3,98T,1,0
Seahawks,26.2,26,680,0,24,1,66,0,0
Packers,25.3,31,783,0,26,2,51,0,0
Vikings,25.1,19,477,0,14,1,47,1,0
Commanders,25,24,601,0,18,1,40,0,1
Broncos,24.9,16,398,1,11,1,99T,2,1
Ravens,24.5,13,319,0,8,1,78,4,0
Dolphins,24.5,18,441,0,16,0,33,1,0
Raiders,23.8,11,262,0,9,1,40,1,0
Browns,23.7,11,261,0,7,0,36,2,0
Jaguars,23.7,29,688,0,21,1,53,0,0
Bears,23.6,23,543,0,18,0,37,2,0
Steelers,23.5,24,565,0,17,0,37,2,0
Bengals,22.8,17,387,0,11,2,46,0,0
Jets,22.6,24,542,0,16,0,34,1,2
Colts,22.2,9,200,0,3,1,42,8,1
Lions,22.2,19,421,0,11,0,31,2,1
49ers,21.8,20,437,0,11,0,34,0,0
Cowboys,21.8,18,393,0,10,2,63,0,0
Chargers,21.7,18,390,0,13,1,46,2,0
Cardinals,21.2,18,382,0,10,1,40,1,0
Saints,21.2,22,466,0,11,0,28,1,1
Titans,20.7,18,372,0,11,0,33,14,0
Bills,20.5,17,349,0,10,1,41,4,0
Buccaneers,20.4,16,327,0,7,0,32,5,0
Chiefs,20.1,12,241,0,8,0,31,6,0
Eagles,19.5,13,254,0,5,0,38,10,1
Giants,19.2,13,249,0,7,0,36,3,0
Falcons,16.9,14,236,0,5,0,29,0,0
Rams,16.1,9,145,0,4,0,36,18,0
