Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,16.3,20,326,0,5,2,52,15,1
Chargers,16,24,385,1,6,1,87T,29,3
Ravens,14.4,29,417,1,6,2,76T,27,0
Eagles,14.4,29,417,0,7,2,54,18,2
Saints,12.2,32,392,1,2,1,76T,24,0
Bills,11.6,31,360,1,4,1,96T,25,3
Lions,11.4,29,331,0,3,1,42,23,1
Seahawks,10.6,25,265,0,3,0,32,16,2
Jaguars,10.2,29,297,0,4,1,48,17,2
Bengals,10.2,34,346,1,4,1,81T,16,1
Raiders,10,25,249,0,1,0,32,18,2
Dolphins,9.8,27,265,0,0,0,19,26,1
Texans,9.7,30,292,0,2,0,22,24,2
Jets,9.7,33,319,1,2,1,65T,31,3
Buccaneers,9.4,25,234,0,1,1,51,18,2
Chiefs,9.3,41,380,0,7,1,50,17,5
Cardinals,9.2,31,286,0,2,1,49,11,1
Colts,9.2,29,267,0,2,0,32,22,3
Giants,8.9,35,311,1,1,1,94T,16,7
Panthers,8.7,37,322,1,4,1,79T,20,2
Steelers,8.6,30,257,0,3,0,34,13,3
Browns,8.4,41,343,0,1,0,21,36,2
Bears,8.2,23,188,0,1,0,31,21,2
49ers,8,34,273,0,0,0,19,13,2
Commanders,7.9,35,278,0,3,1,61,14,2
Titans,7.9,42,330,0,1,0,21,14,3
Vikings,7.8,37,289,0,3,0,25,14,1
Rams,7.3,28,204,0,1,0,29,24,3
Packers,7.3,26,189,0,3,0,35,15,6
Falcons,7.2,33,239,0,1,0,23,18,2
Patriots,6.3,33,208,0,2,0,25,26,5
Cowboys,5.4,18,98,0,0,0,15,23,1
