Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Cowboys,36,38,94.7,0_0,9_9,15_13,4_4,9_9,1_1,60,1
Jets,36,39,92.3,0_0,8_8,11_10,14_13,6_5,0_0,55,1
Bears,35,38,92.1,0_0,9_9,11_11,10_8,8_7,0_0,55,0
Seahawks,35,42,83.3,0_0,8_8,12_11,14_12,8_4,0_0,55,0
Browns,34,37,91.9,0_0,8_8,8_8,13_10,8_8,0_0,58,0
Texans,34,38,89.5,0_0,13_13,13_13,4_3,8_5,0_0,54,0
Colts,33,41,80.5,0_0,9_9,10_9,9_7,12_8,1_0,57,1
Chiefs,33,35,94.3,0_0,8_8,15_13,7_7,4_4,1_1,60,0
Falcons,32,37,86.5,0_0,10_10,10_10,11_9,6_3,0_0,54,0
Ravens,32,37,86.5,0_0,10_10,10_10,12_11,4_1,1_0,50,1
Rams,32,43,74.4,0_0,11_11,7_7,15_9,10_5,0_0,54,1
Chargers,31,33,93.9,0_0,7_7,8_8,9_9,9_7,0_0,55,1
Broncos,30,34,88.2,0_0,11_11,13_12,5_4,5_3,0_0,52,1
Jaguars,30,37,81.1,0_0,4_4,10_10,13_11,10_5,0_0,56,1
Saints,30,37,81.1,0_0,12_10,6_6,10_8,9_6,0_0,55,0
Eagles,30,32,93.8,0_0,9_9,8_7,7_7,7_6,1_1,61,0
Titans,29,30,96.7,0_0,9_9,9_9,6_6,6_5,0_0,53,0
Steelers,29,31,93.6,0_0,9_9,7_7,8_7,6_6,1_0,57,0
Buccaneers,29,31,93.6,0_0,8_8,12_12,3_2,8_7,0_0,57,2
Cardinals,28,33,84.8,0_0,6_6,8_7,7_6,11_8,1_1,62,0
Packers,27,33,81.8,0_0,6_6,14_14,8_4,4_3,1_0,53,0
Bengals,26,31,83.9,0_0,5_5,6_6,8_8,12_7,0_0,56,0
Raiders,26,30,86.7,0_0,10_10,7_6,10_9,3_1,0_0,54,1
Panthers,25,30,83.3,0_0,6_6,7_7,9_7,8_5,0_0,56,0
Bills,24,29,82.8,0_0,4_4,13_12,6_4,6_4,0_0,54,1
Dolphins,24,28,85.7,0_0,6_6,7_7,8_6,7_5,0_0,57,2
Vikings,24,30,80,1_1,7_7,9_9,6_3,7_4,0_0,54,1
Giants,22,31,71,0_0,4_4,9_7,11_6,7_5,0_0,57,1
49ers,21,25,84,0_0,7_7,9_8,6_4,3_2,0_0,57,0
Lions,19,21,90.5,0_0,3_2,13_13,3_3,2_1,0_0,52,0
Commanders,19,24,79.2,0_0,3_2,7_7,9_7,4_2,1_1,61,1
Patriots,16,25,64,0_0,4_4,7_5,10_5,4_2,0_0,56,0
