Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Cowboys,36,94.7,49,94.2,0,0
Jets,36,92.3,16,94.1,0,1
Bears,35,92.1,31,93.9,0,0
Seahawks,35,83.3,33,100,0,0
Browns,34,91.9,30,90.9,0,0
Texans,34,89.5,31,93.9,2,0
Colts,33,80.5,35,97.2,0,0
Chiefs,33,94.3,38,100,0,0
Falcons,32,86.5,27,96.4,0,0
Ravens,32,86.5,51,98.1,0,1
Rams,32,74.4,32,86.5,0,0
Chargers,31,93.9,35,100,0,1
Broncos,30,88.2,29,93.6,1,0
Jaguars,30,81.1,35,100,0,0
Saints,30,81.1,40,100,0,1
Eagles,30,93.8,45,97.8,0,0
Titans,29,96.7,28,93.3,0,0
Steelers,29,93.6,27,96.4,0,0
Buccaneers,29,93.6,33,100,0,0
Cardinals,28,84.8,22,95.6,0,0
Packers,27,81.8,34,87.2,0,0
Bengals,26,83.9,40,100,0,1
Raiders,26,86.7,32,100,0,0
Panthers,25,83.3,17,85,0,1
Bills,24,82.8,49,98,0,1
Dolphins,24,85.7,58,98.3,0,0
Vikings,24,80,36,94.7,0,0
Giants,22,71,24,96,0,1
49ers,21,84,60,98.4,0,0
Lions,19,90.5,48,92.3,0,0
Commanders,19,79.2,32,91.4,0,0
Patriots,16,64,24,96,1,0
