Team,Rsh TD,Rec TD,Tot TD,2-PT
Redskins,27,12,40,0
Broncos,20,26,47,0
Steelers,18,15,37,0
49ers,17,24,42,1
Eagles,16,19,38,0
Seahawks,16,14,33,4
Lions,15,20,37,0
Chiefs,15,18,34,0
Patriots,15,27,46,0
Bills,14,18,34,1
Bengals,14,25,42,1
Cowboys,14,12,26,0
Dolphins,14,22,41,0
Jaguars,13,19,33,2
Oilers,12,22,35,0
Ravens,10,34,45,2
Rams,10,18,34,2
Saints,10,13,23,2
Falcons,9,26,35,0
Panthers,9,22,33,1
Bears,9,19,29,0
Packers,9,39,56,0
Colts,9,16,30,0
Jets,8,22,32,0
Cardinals,8,23,32,1
Buccaneers,8,12,21,0
Raiders,7,28,37,0
Vikings,7,24,33,0
Chargers,7,23,32,0
Giants,4,14,23,0
