Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Colts,84,0,7,8.3,0,0,0,0,0,0
Rams,77,0,6,7.8,0,0,0,0,0,0
Patriots,76,0,5,6.6,0,0,0,0,0,0
Steelers,71,0,10,14.1,0,0,0,0,0,0
Bengals,70,0,4,5.7,0,0,0,0,0,0
Cardinals,70,0,2,2.9,0,0,0,0,0,0
Broncos,68,0,18,26.5,0,0,0,0,0,0
Raiders,68,0,7,10.3,0,0,0,0,0,0
Vikings,68,0,0,0,0,0,0,0,0,0
Redskins,68,0,4,5.9,0,0,0,0,0,0
Chiefs,66,0,7,10.6,0,0,0,0,0,0
Cowboys,65,0,2,3.1,0,0,0,0,0,0
49ers,65,0,18,27.7,0,0,0,0,0,0
Dolphins,62,0,3,4.8,0,0,0,0,0,0
Saints,62,0,6,9.7,0,0,0,0,0,0
Browns,61,0,4,6.6,0,0,0,0,0,0
Lions,60,0,2,3.3,0,0,0,0,0,0
Bears,58,0,3,5.2,0,0,0,0,0,0
Bills,56,0,4,7.1,0,0,0,0,0,0
Oilers,56,0,2,3.6,0,0,0,0,0,0
Chargers,54,0,3,5.6,0,0,0,0,0,0
Packers,51,0,6,11.8,0,0,0,0,0,0
Seahawks,51,0,2,3.9,0,0,0,0,0,0
Jets,46,0,4,8.7,0,0,0,0,0,0
Eagles,46,0,1,2.2,0,0,0,0,0,0
Falcons,45,0,6,13.3,0,0,0,0,0,0
Giants,44,0,3,6.8,0,0,0,0,0,0
Buccaneers,39,0,0,0,0,0,0,0,0,0
