Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Redskins,22,64.7,31,96.9,0,1
Chiefs,21,55.3,27,81.8,0,0
Colts,20,74.1,49,98,0,0
Cardinals,20,74.1,33,94.3,0,0
Vikings,19,61.3,32,88.9,0,0
Cowboys,18,78.3,34,100,0,0
Saints,18,78.3,25,86.2,0,0
Rams,17,65.4,36,81.8,1,0
Oilers,16,59.3,24,100,0,1
Dolphins,16,69.6,29,93.6,0,1
49ers,16,57.1,26,86.7,0,2
Browns,15,53.6,27,90,0,0
Broncos,15,71.4,36,92.3,0,4
Patriots,15,60,43,91.5,0,2
Bengals,14,51.8,39,92.9,1,0
Lions,14,58.3,28,90.3,0,0
Steelers,14,53.8,40,93,0,0
Bills,13,54.2,26,89.7,0,1
Bears,12,48,27,90,0,0
Jets,11,68.8,16,80,0,1
Eagles,11,68.8,18,94.7,0,0
Falcons,10,47.6,20,100,0,0
Packers,10,52.6,24,88.9,0,0
Chargers,10,50,25,83.3,0,0
Seahawks,9,56.2,26,89.7,0,0
Raiders,8,42.1,42,89.4,0,0
Giants,8,38.1,20,95.2,0,0
Buccaneers,8,47.1,11,78.6,0,0
