Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Redskins,22,34,64.7,1_1,8_7,11_8,13_6,0_0,0_0,49,0
Chiefs,21,38,55.3,0_0,11_7,9_6,15_7,0_0,0_0,52,6
Colts,20,27,74.1,0_0,9_9,11_10,7_1,0_0,0_0,41,1
Cardinals,20,27,74.1,0_0,11_10,8_6,8_4,0_0,0_0,43,1
Vikings,19,31,61.3,0_0,7_5,12_10,11_4,0_0,0_0,49,3
Cowboys,18,23,78.3,1_1,8_8,8_6,5_3,0_0,0_0,46,0
Saints,18,23,78.3,1_1,8_8,5_4,7_4,0_0,0_0,50,0
Rams,17,26,65.4,2_2,8_5,5_4,10_6,0_0,0_0,49,4
Oilers,16,27,59.3,1_1,4_4,10_7,8_3,0_0,0_0,54,1
Dolphins,16,23,69.6,0_0,10_9,4_2,8_4,0_0,0_0,53,1
49ers,16,28,57.1,3_3,8_5,8_4,8_4,0_0,0_0,45,3
Browns,15,28,53.6,2_2,6_3,6_5,11_4,0_0,0_0,51,2
Broncos,15,21,71.4,1_1,8_7,5_4,7_3,0_0,0_0,47,1
Patriots,15,25,60,1_0,4_4,6_4,14_7,0_0,0_0,49,1
Bengals,14,27,51.8,1_1,8_6,4_2,8_3,0_0,0_0,51,2
Lions,14,24,58.3,1_1,6_4,6_5,10_4,0_0,0_0,49,2
Steelers,14,26,53.8,1_1,7_3,10_6,7_4,0_0,0_0,47,4
Bills,13,24,54.2,0_0,8_5,8_4,7_4,0_0,0_0,49,2
Bears,12,25,48,0_0,3_3,6_4,11_5,0_0,0_0,47,1
Jets,11,16,68.8,1_1,5_5,5_3,5_2,0_0,0_0,47,0
Eagles,11,16,68.8,1_1,5_5,4_4,6_1,0_0,0_0,44,1
Falcons,10,21,47.6,2_2,4_2,5_1,10_5,0_0,0_0,46,3
Packers,10,19,52.6,1_1,3_3,8_4,5_2,0_0,0_0,45,1
Chargers,10,20,50,0_0,3_2,7_4,9_4,0_0,0_0,48,1
Seahawks,9,16,56.2,0_0,3_3,4_1,8_5,0_0,0_0,48,2
Raiders,8,19,42.1,0_0,2_2,8_4,8_2,0_0,0_0,44,4
Giants,8,21,38.1,1_1,3_3,11_3,2_0,0_0,0_0,50,3
Buccaneers,8,17,47.1,1_1,2_1,9_4,5_2,0_0,0_0,45,3
