Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Falcons,36.2,3653,101,42.1,67,4253,28,8,9,12,20,52,360,0,0
Colts,34.8,2051,59,39.7,56,2342,20,8,10,3,5,33,231,0,0
49ers,34.6,3083,89,40.8,68,3634,17,16,9,10,2,52,351,0,2
Lions,34.5,2898,84,39.2,69,3296,16,7,17,6,15,39,278,0,1
Rams,33.8,2605,77,39,61,3006,16,5,10,6,17,39,281,0,2
Chiefs,33.7,2256,67,41.7,62,2792,15,5,10,8,5,39,376,1,1
Bengals,33.6,2556,76,39.5,61,2999,12,19,3,6,7,41,323,1,0
Raiders,33.2,2221,67,41.6,66,2785,13,9,3,15,2,38,264,0,0
Steelers,33.1,2516,76,39.2,58,2982,22,16,7,13,4,36,206,0,0
Redskins,32.9,2960,90,38.9,56,3503,15,13,9,11,13,44,323,0,0
Packers,32.6,2706,83,37,60,3074,17,10,10,5,10,48,268,0,1
Jets,32.6,2640,81,39.7,72,3218,13,7,8,6,5,55,458,1,0
Bears,32.5,3220,99,37.6,62,3726,20,12,15,8,20,44,346,0,1
Patriots,32.2,2160,67,40.1,52,2688,12,7,4,12,7,37,288,0,0
Dolphins,32.2,1994,62,38.2,56,2366,14,9,8,5,6,34,272,0,0
Giants,31.8,2354,74,41.3,61,3054,11,14,4,10,1,45,500,0,3
Vikings,31.5,2172,69,38.8,55,2678,5,7,7,11,4,40,286,0,0
Cowboys,31.2,2247,72,38,54,2739,15,13,10,12,9,28,252,0,2
Saints,31,3132,101,39.4,63,3974,14,12,10,5,10,64,742,1,0
Eagles,30.8,2900,94,36.6,57,3445,23,17,7,7,10,53,405,0,3
Seahawks,30.6,2450,80,38.3,55,3067,13,7,10,4,3,56,537,1,2
Buccaneers,30.5,2805,92,39.3,56,3619,12,4,10,3,4,71,754,1,0
Broncos,30.3,2513,83,35.5,55,2945,9,18,16,3,3,43,372,1,1
Browns,30,1981,66,39.1,54,2578,9,7,2,4,8,45,517,2,3
Bills,29.3,2520,86,42.8,78,3678,16,13,5,14,2,52,878,2,1
Chargers,29.2,2335,80,39.7,57,3176,17,13,7,12,3,45,601,1,2
Oilers,28.2,2790,99,35.6,74,3529,13,14,8,4,13,60,659,0,1
Cardinals,27.9,1787,64,36.4,54,2331,12,11,5,12,3,33,304,1,2
