Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Ravens,267,1141,4.3,4,61,22.8
Bears,258,875,3.4,6,55,21.3
Browns,242,996,4.1,10,45,18.6
Eagles,190,765,4,3,43,22.6
Falcons,276,1084,3.9,4,55,19.9
Giants,309,1486,4.8,17,83,26.9
49ers,204,814,4,5,56,27.4
Lions,238,895,3.8,8,52,21.8
Bills,268,1215,4.5,6,56,20.9
Jaguars,225,870,3.9,6,52,23.1
Cardinals,344,1453,4.2,15,92,26.7
Cowboys,264,1092,4.1,7,57,21.6
Colts,318,1297,4.1,15,80,25.2
Saints,264,1136,4.3,6,56,21.2
Texans,264,965,3.7,12,68,25.8
Vikings,281,1034,3.7,7,67,23.8
Raiders,324,1455,4.5,10,82,25.3
Rams,283,1173,4.1,10,67,23.7
Chargers,252,1020,4,12,59,23.4
Chiefs,249,1124,4.5,6,62,24.9
Steelers,290,1277,4.4,6,64,22.1
Dolphins,261,992,3.8,9,70,26.8
Buccaneers,241,900,3.7,4,54,22.4
Broncos,292,1600,5.5,11,78,26.7
Patriots,287,977,3.4,9,57,19.9
Packers,310,1347,4.4,9,79,25.5
Titans,291,1123,3.9,7,60,20.6
Panthers,302,1294,4.3,16,78,25.8
Seahawks,272,1126,4.1,11,66,24.3
Commanders,287,1257,4.4,6,66,23
Jets,328,1376,4.2,5,74,22.6
Bengals,274,1383,5,11,82,29.9
