Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Commanders,391,247,63.2,7.3,2844,24,6,134,34.3,35
Vikings,389,271,69.7,6.4,2493,15,9,128,32.9,29
Chiefs,312,190,60.9,5.5,1708,12,6,95,30.4,36
Bills,358,243,67.9,6.3,2246,13,10,124,34.6,39
Saints,337,198,58.8,5.9,1991,13,12,99,29.4,18
Bengals,328,206,62.8,7.6,2478,13,12,118,36,26
Panthers,294,193,65.6,6.1,1792,13,5,103,35,17
Lions,344,215,62.5,6.5,2235,16,8,120,34.9,23
Chargers,389,265,68.1,7.5,2916,16,6,143,36.8,34
Cowboys,281,167,59.4,5.6,1571,14,11,81,28.8,33
Texans,345,241,69.9,7,2414,10,7,112,32.5,24
Raiders,360,244,67.8,6.4,2310,13,10,118,32.8,27
Buccaneers,364,246,67.6,7.4,2707,16,8,133,36.5,29
Dolphins,340,231,67.9,6.5,2206,15,7,109,32.1,31
Browns,264,146,55.3,5.4,1437,9,9,66,25,33
Patriots,352,233,66.2,6.5,2288,12,6,120,34.1,18
Cardinals,339,236,69.6,7.1,2392,17,8,130,38.4,32
Rams,329,204,62,6.6,2178,10,5,112,34,21
Seahawks,374,245,65.5,6.2,2330,13,7,120,32.1,31
Packers,313,201,64.2,6.2,1932,10,5,101,32.3,23
Colts,347,224,64.6,6.6,2288,10,11,108,31.1,30
Jaguars,379,243,64.1,6.7,2544,16,11,117,30.9,20
Jets,317,199,62.8,5.6,1787,12,10,95,30,26
Bears,402,275,68.4,6.7,2705,22,9,139,34.6,15
Giants,371,234,63.1,7,2602,14,9,121,32.6,19
Eagles,405,265,65.4,6.1,2481,21,5,139,34.3,31
Falcons,323,203,62.8,6.2,2004,17,5,107,33.1,21
Steelers,365,213,58.4,6.6,2399,12,11,116,31.8,28
Ravens,402,241,60,4.6,1867,9,10,106,26.4,44
Broncos,323,230,71.2,7.4,2401,18,10,119,36.8,19
Titans,318,219,68.9,7.3,2308,12,3,113,35.5,25
49ers,389,259,66.6,5.7,2214,11,14,112,28.8,27
