Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Giants,140,50,12,5,83,26.9,699
Browns,126,32,6,4,45,18.6,539
Vikings,152,63,16,10,67,23.8,699
Saints,138,48,10,5,56,21.2,619
Bears,143,68,13,8,55,21.3,675
Panthers,126,46,7,5,78,25.8,613
Colts,146,56,16,10,80,25.2,695
Commanders,152,58,15,9,66,23,713
Cowboys,128,42,21,13,57,21.6,578
Falcons,128,44,10,5,55,19.9,620
Ravens,162,57,19,7,61,22.8,713
Chargers,129,46,24,15,59,23.4,675
Packers,143,56,17,10,79,25.5,646
Buccaneers,135,63,10,4,54,22.4,634
Lions,116,41,16,10,52,21.8,605
Texans,134,55,13,5,68,25.8,633
Eagles,132,57,24,11,43,22.6,626
Cardinals,139,65,11,4,92,26.7,715
Steelers,143,56,13,6,64,22.1,683
Rams,132,53,13,9,67,23.7,633
Bills,145,56,16,9,56,20.9,665
Raiders,143,60,15,7,82,25.3,711
Patriots,139,55,12,8,57,19.9,657
Jaguars,130,44,25,12,52,23.1,624
Jets,149,59,5,4,74,22.6,671
Bengals,121,53,8,2,82,29.9,628
Chiefs,126,45,16,7,62,24.9,597
Broncos,114,44,19,10,78,26.7,634
Seahawks,141,62,17,6,66,24.3,677
Titans,135,54,12,8,60,20.6,634
Dolphins,128,46,18,7,70,26.8,632
49ers,127,52,14,6,56,27.4,620
