Team,INT,INT TD,INT Yds,Lng
Bengals,31,1,260,37T
Bears,24,4,524,95
Vikings,24,3,392,92
Panthers,23,2,440,61
Jets,21,2,279,74
Broncos,20,3,379,80
Lions,19,2,308,64
Jaguars,19,2,184,41
Colts,18,2,259,36
Bills,17,1,233,46T
Giants,17,1,354,71T
Eagles,17,1,195,40T
Buccaneers,17,0,223,42
Falcons,16,0,268,65
Chiefs,16,1,232,57T
49ers,16,3,220,61
Seahawks,16,2,315,72
Redskins,16,1,176,41
Browns,15,0,130,37
Cowboys,15,2,187,58
Cardinals,15,3,285,60
Steelers,15,0,179,55
Dolphins,14,0,136,37
Rams,13,2,364,85
Ravens,11,1,191,38
Packers,10,2,205,95
Patriots,10,2,85,39
Saints,10,0,182,51
Chargers,10,2,205,70T
Titans,9,2,129,52
Texans,7,0,46,29
Raiders,5,0,38,33
