Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Packers,33,68.8,29,100,0,2
Steelers,28,68.3,35,97.2,0,0
Bengals,27,67.5,30,96.8,0,2
Jets,27,73,40,97.6,0,1
Rams,24,58.5,31,100,0,0
Dolphins,24,64.9,43,95.6,0,0
Browns,22,81.5,28,96.6,0,0
Cowboys,21,58.3,36,100,0,0
Chiefs,21,58.3,32,100,0,0
Vikings,21,63.6,34,100,0,0
Giants,21,67.7,34,89.5,1,0
Broncos,20,69,37,100,1,1
Lions,20,69,38,97.4,0,0
Eagles,20,57.1,11,91.7,0,0
Chargers,18,58.1,28,93.3,0,0
49ers,18,62.1,41,97.6,1,0
Raiders,17,65.4,44,100,0,0
Falcons,16,53.3,31,100,0,0
Bills,16,66.7,29,96.7,0,0
Cardinals,14,63.6,19,90.5,0,0
Redskins,14,46.7,40,97.6,0,0
Oilers,13,61.9,17,94.4,0,0
Colts,13,33.3,28,100,1,0
Bears,12,50,26,100,2,0
Saints,11,44,24,96,0,0
Patriots,8,50,24,100,0,0
