Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Bears,29.4,52,1528,2,0,0,94,0,0
Colts,28.1,47,1321,1,0,0,93T,0,0
Giants,25.2,50,1262,1,0,0,92T,0,0
Lions,25.1,52,1304,0,0,0,62,0,0
49ers,23.7,44,1041,1,0,0,98T,0,0
Redskins,23.6,48,1133,0,0,0,45,0,0
Vikings,23.6,42,989,0,0,0,48,0,0
Patriots,23.5,55,1293,0,0,0,49,0,0
Eagles,23.3,59,1375,0,0,0,78,0,0
Packers,23.3,49,1141,0,0,0,89,0,0
Bills,23.2,60,1389,0,0,0,66,0,0
Steelers,23,33,760,0,0,0,82,0,0
Chiefs,23,46,1057,0,0,0,48,0,0
Rams,23,56,1287,0,0,0,53,0,0
Broncos,22.8,55,1256,1,0,0,94T,0,0
Browns,22.8,41,933,0,0,0,47,0,0
Dolphins,22.8,24,546,0,0,0,45,0,0
Bengals,22.1,46,1018,0,0,0,62,0,0
Jets,21.8,56,1218,0,0,0,51,0,0
Cardinals,21.7,53,1152,0,0,0,41,0,0
Cowboys,21.6,50,1080,0,0,0,44,0,0
Raiders,21.4,38,813,0,0,0,49,0,0
Chargers,21.2,60,1273,0,0,0,41,0,0
Saints,21.2,62,1312,0,0,0,61,0,0
Oilers,20.2,54,1093,0,0,0,43,0,0
Falcons,20,52,1039,0,0,0,52,0,0
