Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Packers,33,48,68.8,4_3,8_7,17_13,16_8,0_0,0_0,51,6
Steelers,28,41,68.3,9_9,10_8,12_8,9_3,0_0,0_0,49,4
Bengals,27,40,67.5,7_6,10_6,12_9,8_5,0_0,0_0,51,3
Jets,27,37,73,8_7,7_7,15_11,7_2,0_0,0_0,42,1
Rams,24,41,58.5,7_6,7_5,11_9,13_4,0_0,0_0,48,0
Dolphins,24,37,64.9,7_7,3_3,8_7,11_4,0_0,0_0,54,3
Browns,22,27,81.5,5_5,8_7,8_7,5_2,0_0,0_0,57,0
Cowboys,21,36,58.3,6_6,5_5,6_3,13_5,0_0,0_0,54,0
Chiefs,21,36,58.3,3_3,4_3,13_9,9_5,0_0,0_0,50,3
Vikings,21,33,63.6,4_4,9_6,10_7,9_4,0_0,0_0,45,1
Giants,21,31,67.7,8_8,10_8,3_0,8_5,0_0,0_0,49,1
Broncos,20,29,69,6_6,3_2,8_6,11_6,0_0,0_0,49,1
Lions,20,29,69,3_3,5_5,11_8,9_3,0_0,0_0,51,1
Eagles,20,35,57.1,6_6,6_3,10_7,9_2,0_0,0_0,52,0
Chargers,18,31,58.1,5_5,4_4,6_2,12_6,0_0,0_0,51,2
49ers,18,29,62.1,4_4,5_4,5_4,12_5,0_0,0_0,50,0
Raiders,17,26,65.4,1_1,6_5,7_5,12_6,0_0,0_0,48,1
Falcons,16,30,53.3,5_3,6_5,10_7,9_1,0_0,0_0,41,2
Bills,16,24,66.7,2_2,5_4,7_6,9_4,0_0,0_0,48,0
Cardinals,14,22,63.6,5_4,5_2,3_2,9_6,0_0,0_0,49,1
Redskins,14,30,46.7,4_4,3_0,11_6,8_4,0_0,0_0,46,0
Oilers,13,21,61.9,3_3,6_4,4_3,7_3,0_0,0_0,49,3
Colts,13,39,33.3,3_2,8_6,8_3,17_2,0_0,0_0,42,4
Bears,12,24,50,6_6,4_3,4_2,9_1,0_0,0_0,45,0
Saints,11,25,44,3_3,5_2,7_5,10_1,0_0,0_0,46,3
Patriots,8,16,50,1_1,3_2,6_4,4_1,0_0,0_0,42,2
