Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Texans,77,35,7,3,69,60,20,14.7,334
Patriots,76,25,10,2,49,43.8,26,20.3,324
Saints,75,28,3,2,52,47.3,27,18.9,329
Cowboys,73,36,5,1,55,47.8,36,23.1,331
Giants,73,26,12,7,45,39.1,28,22.6,320
Eagles,73,37,8,5,52,46,55,30.7,359
Steelers,73,27,4,1,40,40.8,24,20.5,295
Ravens,71,32,4,1,46,46,44,26.8,322
Panthers,71,29,8,4,60,47.6,30,25.2,336
Rams,71,31,8,6,75,60.5,29,23.2,341
Bengals,70,24,7,2,55,44.7,23,21.7,315
Colts,69,27,9,2,56,52.3,33,22.2,328
Jaguars,69,26,8,2,64,51.6,31,20.4,348
Chiefs,68,35,3,2,62,49.2,41,29.7,331
Lions,67,26,10,5,61,55,42,25.4,331
Packers,66,27,8,4,49,54.4,25,21.6,288
Falcons,65,25,6,3,54,52.4,39,26.2,322
Bears,65,26,8,4,52,55.3,35,26.1,306
Bills,63,31,5,3,65,50.8,39,29.3,317
Titans,62,23,5,3,47,51.6,28,22.2,287
Jets,61,16,4,3,41,45,27,23.7,279
Vikings,60,23,11,8,73,53.3,17,18.7,308
Cardinals,60,25,7,2,51,50,34,26,295
Commanders,60,22,5,3,62,47.3,33,32.4,322
Browns,59,19,4,2,39,46.4,31,23.7,285
Buccaneers,57,27,2,2,42,48.3,20,17.1,247
Broncos,56,22,3,2,51,46.8,28,26.4,284
Raiders,55,18,7,6,58,52.7,24,20.9,294
Chargers,54,21,8,5,52,50,30,26.6,268
49ers,54,26,3,2,66,66.7,45,26,318
Dolphins,46,19,7,2,80,66.1,39,28.9,309
Seahawks,45,13,4,2,45,52.3,26,26.3,235
