Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Eagles,179,820,4.6,6,4,1,43,55,30.7,2
49ers,173,782,4.5,11,3,2,65,45,26,3
Lions,165,705,4.3,9,3,2,42T,42,25.4,1
Ravens,164,730,4.4,9,3,0,26T,44,26.8,2
Cowboys,156,622,4,4,4,1,46,36,23.1,2
Jaguars,152,596,3.9,5,4,0,35T,31,20.4,1
Falcons,149,608,4.1,4,4,0,38,39,26.2,2
Colts,149,656,4.4,7,5,1,56T,33,22.2,3
Saints,143,486,3.4,3,0,0,19,27,18.9,2
Chiefs,138,615,4.5,4,3,1,48T,41,29.7,1
Texans,136,413,3,1,0,0,15,20,14.7,2
Dolphins,135,929,6.9,12,10,6,76,39,28.9,6
Bears,134,654,4.9,2,5,0,34,35,26.1,1
Bills,133,581,4.4,7,4,0,36,39,29.3,2
Browns,131,575,4.4,3,3,2,69T,31,23.7,3
Cardinals,131,716,5.5,5,10,3,45,34,26,3
Patriots,128,419,3.3,1,0,0,18,26,20.3,1
Titans,126,533,4.2,4,3,0,29T,28,22.2,1
Rams,125,470,3.8,6,2,0,22,29,23.2,1
Giants,124,461,3.7,3,0,0,18T,28,22.6,2
Panthers,119,480,4,1,2,0,26,30,25.2,3
Steelers,117,402,3.4,0,3,0,24,24,20.5,1
Buccaneers,117,348,3,1,0,0,14,20,17.1,0
Packers,116,408,3.5,4,3,0,26,25,21.6,2
Raiders,115,357,3.1,3,2,0,34,24,20.9,2
Jets,114,616,5.4,2,4,3,83T,27,23.7,5
Chargers,113,479,4.2,5,3,2,55,30,26.6,0
Bengals,106,373,3.5,1,1,0,22,23,21.7,0
Broncos,106,521,4.9,1,4,0,38,28,26.4,2
Commanders,102,455,4.5,5,3,0,27,33,32.4,2
Seahawks,99,434,4.4,5,2,0,36,26,26.3,0
Vikings,91,404,4.4,0,0,0,17,17,18.7,4
