Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Vikings,137,1498,10.9,13,21,3,62,73,53.3,3
Commanders,131,1349,10.3,6,16,1,41,62,47.3,2
Bills,128,1407,11,11,15,5,55,65,50.8,1
Panthers,126,1111,8.8,7,9,1,47T,60,47.6,1
Chiefs,126,1318,10.5,10,15,1,54T,62,49.2,2
Jaguars,124,1266,10.2,5,15,1,45T,64,51.6,3
Rams,124,1451,11.7,5,20,2,46,75,60.5,1
Bengals,123,1045,8.5,5,5,2,63T,55,44.7,1
Dolphins,121,1681,13.9,12,22,5,69,80,66.1,2
Cowboys,115,1089,9.5,5,15,1,49,55,47.8,3
Texans,115,1467,12.8,8,21,4,68,69,60,0
Giants,115,976,8.5,2,10,1,58,45,39.1,2
Eagles,113,1262,11.2,6,16,4,63,52,46,0
Patriots,112,1087,9.7,5,9,2,58T,49,43.8,2
Lions,111,1265,11.4,9,23,1,45,61,55,2
Raiders,110,1155,10.5,6,10,0,32T,58,52.7,0
Saints,110,1068,9.7,4,14,4,45T,52,47.3,0
Broncos,109,1210,11.1,11,18,5,60,51,46.8,3
Colts,107,1130,10.6,5,16,1,43,56,52.3,2
Chargers,104,1155,11.1,8,18,3,51T,52,50,3
Falcons,103,1095,10.6,4,14,1,45,54,52.4,1
Cardinals,102,980,9.6,6,9,2,69,51,50,0
Ravens,100,1030,10.3,4,14,2,52,46,46,3
49ers,99,1272,12.8,9,18,3,42T,66,66.7,2
Steelers,98,1045,10.7,5,14,3,72,40,40.8,2
Bears,94,1143,12.2,11,20,2,58T,52,55.3,2
Titans,91,1054,11.6,3,16,4,70,47,51.6,1
Jets,91,911,10,4,11,1,68T,41,45,0
Packers,90,1083,12,8,12,3,77T,49,54.4,0
Buccaneers,87,882,10.1,7,12,2,70,42,48.3,2
Seahawks,86,909,10.6,5,10,1,51T,45,52.3,0
Browns,84,799,9.5,4,7,1,43,39,46.4,2
