Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Vikings,204,137,67.2,7.3,1498,13,4,101.7,73,35.8,21,3,62T,13,90
Rams,203,124,61.1,7.2,1451,5,5,80.7,75,37,20,2,46,13,101
Panthers,202,126,62.4,5.5,1111,7,4,80.3,60,29.7,9,1,47T,15,119
Bengals,198,123,62.1,5.3,1045,5,3,78,55,27.8,5,2,63T,11,94
Commanders,191,131,68.6,7.1,1349,6,6,86,62,32.5,16,1,41,29,185
Chiefs,189,126,66.7,7,1318,10,6,91.1,62,32.8,15,1,54,4,28
Texans,187,115,61.5,7.8,1467,8,0,100.3,69,36.9,21,4,68,11,93
Patriots,186,112,60.2,5.8,1087,5,6,72.1,49,26.3,9,2,58T,10,69
Jaguars,183,124,67.8,6.9,1266,5,2,91.9,64,35,15,1,45,13,71
Bills,175,128,73.1,8,1407,11,5,105.6,65,37.1,15,5,55T,9,36
Saints,169,110,65.1,6.3,1068,4,3,83.2,52,30.8,14,4,45,17,109
Dolphins,168,121,72,10,1681,12,5,115.2,80,47.6,22,5,69,6,42
Eagles,168,113,67.3,7.5,1262,6,4,91.4,52,31,16,4,63T,12,60
Colts,167,107,64.1,6.8,1130,5,1,91.2,56,33.5,16,1,43T,12,68
Giants,166,115,69.3,5.9,976,2,6,73.3,45,27.1,10,1,58,30,161
Cowboys,165,115,69.7,6.6,1089,5,4,87.7,55,33.3,15,1,49,10,74
Raiders,164,110,67.1,7,1155,6,8,79.2,58,35.4,10,0,32T,15,106
Steelers,164,98,59.8,6.4,1045,5,4,78.4,40,24.4,14,3,72T,14,106
Broncos,163,109,66.9,7.4,1210,11,2,106.1,51,31.3,18,5,60T,15,90
Packers,162,90,55.6,6.7,1083,8,6,77.3,49,30.2,12,3,77,10,83
Lions,159,111,69.8,8,1265,9,3,104.4,61,38.4,23,1,45T,7,48
Falcons,157,103,65.6,7,1095,4,3,86.4,54,34.4,14,1,45,16,119
Cardinals,155,102,65.8,6.3,980,6,2,90.8,51,32.9,9,2,69,9,51
Bears,152,94,61.8,7.5,1143,11,5,95.4,52,34.2,20,2,58,20,125
Jets,150,91,60.7,6.1,911,4,5,72.9,41,27.3,11,1,68T,15,109
Chargers,146,104,71.2,7.9,1155,8,1,109.8,52,35.6,18,3,51T,9,79
Titans,144,91,63.2,7.3,1054,3,5,77.7,47,32.6,16,4,70T,17,119
Ravens,143,100,69.9,7.2,1030,4,2,93.9,46,32.2,14,2,52,15,85
Browns,138,84,60.9,5.8,799,4,5,71.5,39,28.3,7,1,43T,16,109
49ers,137,99,72.3,9.3,1272,9,0,122.9,66,48.2,18,3,42,8,41
Seahawks,129,86,66.7,7,909,5,1,96.7,45,34.9,10,1,51,7,64
Buccaneers,126,87,69,7,882,7,2,100.7,42,33.3,12,2,70,4,24
