Team,Rsh TD,Rec TD,Tot TD,2-PT
Dolphins,12,12,24,0
49ers,11,9,20,0
Ravens,9,4,13,1
Lions,9,9,19,0
Bills,7,11,19,0
Colts,7,5,12,2
Rams,6,5,11,0
Eagles,6,6,13,1
Jaguars,5,5,11,1
Cardinals,5,6,11,1
Chargers,5,8,13,1
Seahawks,5,5,12,1
Commanders,5,6,12,2
Falcons,4,4,8,1
Cowboys,4,5,12,2
Packers,4,8,13,2
Titans,4,3,7,0
Chiefs,4,10,14,0
Browns,3,4,7,3
Raiders,3,6,9,1
Saints,3,4,9,0
Giants,3,2,6,0
Bears,2,11,13,1
Jets,2,4,7,1
Panthers,1,7,9,1
Bengals,1,5,8,0
Broncos,1,11,13,1
Texans,1,8,10,0
Patriots,1,5,6,0
Buccaneers,1,7,9,1
Vikings,0,13,13,0
Steelers,0,5,6,0
