Team,FF,FR,FR TD
Falcons,0,15,1
Bills,0,8,0
Bears,0,14,0
Bengals,0,9,0
Browns,0,16,1
Cowboys,0,17,1
Broncos,0,12,0
Lions,0,15,0
Packers,0,19,1
Oilers,0,18,0
Colts,0,13,0
Chiefs,0,19,0
Rams,0,11,0
Raiders,0,12,1
Dolphins,0,20,1
Vikings,0,14,2
Patriots,0,14,0
Saints,0,13,2
Giants,0,15,0
Jets,0,12,0
Eagles,0,8,0
Cardinals,0,16,1
Steelers,0,20,1
Chargers,0,10,0
49ers,0,17,1
Redskins,0,15,1
