Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,122,24.2,0
Bills,0,0,0,0,125,23.5,0
Bears,0,0,0,0,96,20.2,0
Bengals,0,0,0,0,98,24.1,0
Browns,0,0,0,0,130,25,0
Cowboys,0,0,0,0,81,18.9,0
Broncos,0,0,0,0,102,23.2,0
Lions,0,0,0,0,126,25.7,0
Packers,0,0,0,0,85,19.2,0
Oilers,0,0,0,0,147,26.9,0
Colts,0,0,0,0,111,21.6,0
Chiefs,0,0,0,0,93,20.5,0
Rams,0,0,0,0,101,23.1,0
Raiders,0,0,0,0,97,20.7,0
Dolphins,0,0,0,0,76,19.5,0
Vikings,0,0,0,0,103,22.7,0
Patriots,0,0,0,0,143,26.1,0
Saints,0,0,0,0,107,22.2,0
Giants,0,0,0,0,101,25.1,0
Jets,0,0,0,0,121,25.4,0
Eagles,0,0,0,0,137,25.2,0
Cardinals,0,0,0,0,119,21.7,0
Steelers,0,0,0,0,88,19.8,0
Chargers,0,0,0,0,99,22.8,0
49ers,0,0,0,0,96,21.5,0
Redskins,0,0,0,0,95,22.2,0
