Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Redskins,26,43,1118,1,0,0,97T,0,0
Rams,25.4,36,915,1,0,0,93T,0,0
Patriots,24.1,57,1372,1,0,0,92T,0,0
Raiders,24,39,937,0,0,0,76,0,0
Oilers,23.7,76,1799,1,0,0,103T,0,0
Cardinals,23.6,58,1369,1,0,0,97T,0,0
Chiefs,23.4,31,725,0,0,0,40,0,0
Bills,23.1,42,972,2,0,0,101T,0,0
Eagles,22.9,63,1441,0,0,0,53,0,0
Chargers,22.8,70,1597,0,0,0,70,0,0
Bears,22.8,59,1344,1,0,0,95T,0,0
Bengals,22.5,39,876,0,0,0,41,0,0
Packers,22.4,53,1189,0,0,0,84,0,0
Colts,22.4,60,1343,1,0,0,101T,0,0
Browns,22.1,49,1084,0,0,0,59,0,0
Broncos,22,36,793,0,0,0,50,0,0
Cowboys,22,33,725,0,0,0,63,0,0
Dolphins,21.8,24,523,0,0,0,51,0,0
Vikings,21.5,35,752,0,0,0,45,0,0
Giants,21.4,56,1198,0,0,0,51,0,0
Lions,21.2,50,1061,0,0,0,60,0,0
Steelers,21.1,40,843,0,0,0,48,0,0
Falcons,20.9,53,1107,0,0,0,51,0,0
49ers,20.6,63,1301,0,0,0,54,0,0
Jets,20.4,52,1061,1,0,0,82T,0,0
Saints,20.2,47,947,0,0,0,48,0,0
