Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Rams,86,0,18,20.9,0,0,0,0,0,0
Steelers,80,0,21,26.2,0,0,0,0,0,0
Dolphins,78,0,22,28.2,0,0,0,0,0,0
Broncos,77,0,15,19.5,0,0,0,0,0,0
Cowboys,75,0,22,29.3,0,0,0,0,0,0
Falcons,74,0,16,21.6,0,0,0,0,0,0
Redskins,73,0,11,15.1,0,0,0,0,0,0
Eagles,71,0,16,22.5,0,0,0,0,0,0
Bengals,69,0,27,39.1,0,0,0,0,0,0
Vikings,68,0,9,13.2,0,0,0,0,0,0
Raiders,67,0,21,31.3,0,0,0,0,0,0
Cardinals,66,0,9,13.6,0,0,0,0,0,0
49ers,66,0,13,19.7,0,0,0,0,0,0
Bills,64,0,20,31.2,0,0,0,0,0,0
Lions,64,0,6,9.4,0,0,0,0,0,0
Chiefs,61,0,21,34.4,0,0,0,0,0,0
Patriots,59,0,18,30.5,0,0,0,0,0,0
Browns,58,0,10,17.2,0,0,0,0,0,0
Jets,58,0,14,24.1,0,0,0,0,0,0
Packers,56,0,16,28.6,0,0,0,0,0,0
Colts,56,0,13,23.2,0,0,0,0,0,0
Giants,56,0,12,21.4,0,0,0,0,0,0
Oilers,52,0,15,28.8,0,0,0,0,0,0
Bears,51,0,18,35.3,0,0,0,0,0,0
Saints,48,0,15,31.2,0,0,0,0,0,0
Chargers,48,0,13,27.1,0,0,0,0,0,0
