Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,114,22.8,0
Bills,0,0,0,0,135,24,0
Bears,0,0,0,0,99,19.4,0
Bengals,0,0,0,0,93,20.8,0
Browns,0,0,0,0,115,23.8,0
Cowboys,0,0,0,0,59,16.7,0
Broncos,0,0,0,0,90,21.1,0
Lions,0,0,0,0,97,22.4,0
Packers,0,0,0,0,104,21.3,0
Oilers,0,0,0,0,117,23.9,0
Colts,0,0,0,0,60,17,0
Chiefs,0,0,0,0,73,19.9,0
Rams,0,0,0,0,91,20,0
Raiders,0,0,0,0,100,20.8,0
Dolphins,0,0,0,0,93,23.1,0
Vikings,0,0,0,0,85,19,0
Patriots,0,0,0,0,106,22,0
Saints,0,0,0,0,129,26.1,0
Giants,0,0,0,0,104,23.2,0
Jets,0,0,0,0,118,25,0
Eagles,0,0,0,0,104,23.1,0
Cardinals,0,0,0,0,109,22.4,0
Steelers,0,0,0,0,81,18.4,0
Chargers,0,0,0,0,143,29,0
49ers,0,0,0,0,80,19.6,0
Redskins,0,0,0,0,73,17.9,0
