Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Redskins,13.2,52,688,1,0,0,71T,9,0
Patriots,13.1,48,628,2,0,0,89T,0,0
Chiefs,12.6,34,429,0,0,0,48,1,0
Broncos,12.6,51,640,4,0,0,92T,5,0
Dolphins,11.9,35,415,1,0,0,79T,5,0
Raiders,11.1,50,553,0,0,0,32,3,0
Chargers,10.9,45,490,0,0,0,43,1,0
Cowboys,10.9,45,489,0,0,0,55,12,0
Oilers,10.5,48,504,1,0,0,69T,12,0
Eagles,10.4,41,425,0,0,0,29,14,0
Cardinals,9.7,36,350,0,0,0,39,1,0
Rams,9.2,52,476,0,0,0,25,3,0
Steelers,9,71,636,0,0,0,36,2,0
Saints,8.9,42,375,0,0,0,67,14,0
49ers,8.6,65,557,2,0,0,60,9,0
Buccaneers,8.5,43,366,0,0,0,32,0,0
Colts,7.9,40,315,0,0,0,44,13,0
Browns,7.5,49,369,0,0,0,49,3,0
Packers,7.5,40,300,0,0,0,27,8,0
Jets,7.2,40,289,1,0,0,60T,2,0
Vikings,6.8,40,271,0,0,0,31,16,0
Lions,6.7,31,207,0,0,0,30,24,0
Bills,6.7,33,220,1,0,0,67T,13,0
Seahawks,6.6,37,246,0,0,0,26,7,0
Falcons,6.4,60,385,0,0,0,24,5,0
Bengals,6.4,54,343,0,0,0,32,13,0
Bears,6.3,43,269,0,0,0,51,6,0
Giants,4.8,41,197,0,0,0,22,10,0
