Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Dolphins,24.5,55,1347,0,0,0,69,0,0
Cowboys,24.4,42,1027,0,0,0,74,0,0
Chiefs,23.7,65,1538,0,0,0,64,0,0
Patriots,23.6,46,1087,0,0,0,71,0,0
Broncos,23.4,46,1075,0,0,0,64,0,0
Rams,23.3,44,1027,1,0,0,90T,0,0
Raiders,22.3,46,1025,0,0,0,55,0,0
Browns,21.9,54,1182,0,0,0,44,0,0
Jets,21.9,73,1597,0,0,0,58,0,0
Bengals,21.4,49,1046,1,0,0,97T,0,0
Redskins,21.3,50,1066,0,0,0,67,0,0
Bears,21.3,51,1087,0,0,0,48,0,0
Buccaneers,21.3,70,1488,0,0,0,43,0,0
Bills,21.2,75,1594,0,0,0,79,0,0
Oilers,21.2,58,1229,0,0,0,53,0,0
Falcons,21.2,60,1269,0,0,0,44,0,0
Lions,21,47,987,0,0,0,84,0,0
Packers,20.9,65,1361,0,0,0,88,0,0
Steelers,20.8,41,855,0,0,0,39,0,0
Chargers,20.7,52,1076,0,0,0,47,0,0
Colts,20.6,52,1072,0,0,0,83,0,0
Vikings,20.4,42,859,0,0,0,57,0,0
49ers,20.4,38,777,0,0,0,40,0,0
Cardinals,20.4,54,1102,0,0,0,43,0,0
Seahawks,20.3,79,1605,0,0,0,45,0,0
Eagles,19.8,58,1148,0,0,0,41,0,0
Giants,19.7,53,1044,0,0,0,37,0,0
Saints,18.9,62,1173,0,0,0,41,0,0
