Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Vikings,592,352,59.5,6,3528,25,34,66.6,176,29.7,0,0,58T,30,285
Cardinals,508,252,49.6,6.6,3357,16,21,64.2,158,31.1,0,0,74,22,186
Saints,479,294,61.4,7.2,3452,17,16,81.2,154,32.2,0,0,71T,37,301
Chargers,477,271,56.8,7.5,3566,26,30,72.5,171,35.8,0,0,55,32,191
Bengals,470,250,53.2,6.5,3039,14,30,56.7,141,30,0,0,57T,38,298
Seahawks,467,261,55.9,7.3,3401,15,22,70.1,156,33.4,0,0,64T,44,284
Rams,466,236,50.6,6.7,3109,13,22,61.7,148,31.8,0,0,68T,34,235
Falcons,449,221,49.2,6.4,2883,11,23,56.7,133,29.6,0,0,71T,56,481
Cowboys,449,251,55.9,7.6,3405,25,17,83,167,37.2,0,0,91T,33,229
Browns,442,236,53.4,7.1,3137,22,21,72.9,130,29.4,0,0,69T,35,278
Redskins,438,212,48.4,6.8,2978,17,21,63.7,134,30.6,0,0,63T,46,413
49ers,435,190,43.7,5.3,2306,9,36,33,106,24.4,0,0,58T,42,350
Raiders,433,251,58,7.2,3095,16,31,62.7,164,37.9,0,0,49,39,368
Lions,429,247,57.6,6.4,2746,19,18,74,141,32.9,0,0,47,47,444
Eagles,401,207,51.6,6.2,2485,16,16,67.6,112,27.9,0,0,56T,41,288
Broncos,391,217,55.5,6.9,2710,17,17,73.6,137,35,0,0,42T,48,332
Patriots,390,196,50.3,7.7,3006,15,25,62.2,125,32,0,0,75T,24,206
Bills,388,203,52.3,6.4,2503,21,17,72.4,113,29.1,0,0,92T,30,254
Jets,388,193,49.7,7.6,2957,19,28,61.5,128,33,0,0,77T,43,350
Colts,383,202,52.7,6.6,2543,17,30,55.9,124,32.4,0,0,78,49,480
Giants,382,176,46.1,6.4,2428,13,27,48.8,101,26.4,0,0,67T,38,283
Steelers,380,212,55.8,7.8,2961,28,22,81.5,149,39.2,0,0,70,25,262
Dolphins,379,226,59.6,7.1,2707,24,18,82.9,135,35.6,0,0,63T,27,238
Oilers,373,201,53.9,6.6,2473,16,17,69.9,119,31.9,0,0,80T,17,135
Chiefs,370,204,55.1,5.5,2032,7,16,59.2,98,26.5,0,0,44T,21,198
Buccaneers,361,151,41.8,6,2171,12,18,52.3,101,28,0,0,66,52,468
Packers,357,180,50.4,6.6,2358,11,18,60.9,101,28.3,0,0,58T,37,274
Bears,352,186,52.8,6.3,2221,7,28,45.9,99,28.1,0,0,61T,34,288
